Method,SCORE,UVR,SR,SCSR
LACM,69.73 +- 0.00,54.00 +- 0.00,64.20 +- 0.00,N/A
Oracle,90.42 +- 0.00,7.17 +- 0.00,90.83 +- 0.00,N/A
EFSR,70.57 +- 0.00,35.30 +- 0.00,64.70 +- 0.00,52.17 +- 0.00
