episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,5.084,2.48,0,1.0,0.1667,16,7680,70,150.0,0.0,150.0,1.0,0.7292,0.0625,1,0,1,0.0625,0.0,0.0625,0,0.8125,0.1875,1.0,13,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8,5,4,0.5159,0.1,0.0,0.75,0.0,0.3125,0.0,0.0,0.8,0.0,0.0,0.0,0.7029,0.0,enter_inner,obstacle,1.0,0.0
4,7.134,3.48,0,1.0,0.1667,14,6720,70,150.0,0.0,150.0,1.0,0.8333,0.0714,1,0,1,0.0714,0.0,0.0714,0,1.0,0.0,1.0,14,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3333,3,1,0.5401,0.1,0.1429,0.5714,0.0714,0.2143,0.0,0.0,0.3333,0.0,0.0,0.0,0.5091,0.0,enter_inner,obstacle,1.0,0.0
5,30.75,15.0,0,3.0,0.5,25,12000,70,150.0,0.0,150.0,1.0,1.4,0.12,0,1,1,0.0,0.04,0.04,0,0.8,0.2,1.0,20,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7143,7,5,0.5621,0.1,0.12,0.84,0.04,0.28,0.0,0.0,0.7143,0.0,0.0,0.0,1.2595,0.0,return_outer,red_light,0.9999,0.0
6,27.962,13.64,0,3.0,0.5,29,13920,70,150.0,0.0,150.0,1.0,1.2069,0.1034,1,0,1,0.0345,0.0,0.0345,0,0.7241,0.2759,1.0,21,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,8,4,0.5653,0.1,0.0345,0.6897,0.0,0.2759,0.0,0.0,0.5,0.0,0.0,0.0,1.2957,0.0,return_outer,obstacle,0.9999,0.0
7,3.444,1.68,0,1.0,0.1667,19,9120,70,150.0,0.0,150.0,1.0,0.614,0.0526,1,0,1,0.0526,0.0,0.0526,0,0.7368,0.2632,1.0,14,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6,5,3,0.5489,0.1,0.0526,0.5789,0.0526,0.2632,0.0,0.0,0.6,0.0,0.0,0.0,0.9515,0.0,enter_inner,obstacle,0.9998,0.0
8,6.56,3.2,0,1.0,0.1667,14,6720,70,150.0,0.0,150.0,1.0,0.8333,0.0714,1,0,1,0.0714,0.0,0.0714,0,0.9286,0.0714,1.0,13,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8333,6,5,0.514,0.1,0.0714,0.7857,0.0,0.4286,0.0,0.0,0.8333,0.0,0.0,0.0,0.5091,0.0,enter_inner,obstacle,0.9997,0.0
9,63.55,31.0,0,5.0,0.8333,50,24000,70,150.0,0.0,150.0,1.0,1.1667,0.1,1,0,1,0.02,0.0,0.02,0,0.8,0.2,1.0,40,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3684,19,7,0.6167,0.1,0.24,0.78,0.16,0.38,0.0,0.0,0.3684,0.0,0.0,0.0,1.4386,0.0,final_park,wall,0.9997,0.0
10,58.3225,28.45,0,4.0,0.6667,33,15840,70,150.0,0.0,150.0,1.0,1.4141,0.1212,1,0,1,0.0303,0.0,0.0303,0,0.9394,0.0606,1.0,31,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6364,11,7,0.565,0.1,0.1515,0.8182,0.0303,0.3333,0.0,0.0,0.6364,0.0,0.0,0.0,1.1841,0.0,outer_patrol_b,road_edge,0.9996,0.0
11,7.134,3.48,0,1.0,0.1667,13,6240,70,150.0,0.0,150.0,1.0,0.8974,0.0769,0,1,1,0.0,0.0769,0.0769,0,0.9231,0.0769,1.0,12,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.75,4,3,0.5293,0.1,0.0769,0.6923,0.0769,0.3077,0.0,0.0,0.75,0.0,0.0,0.0,0.2712,0.0,enter_inner,red_light,0.9995,0.0
12,63.796,31.12,0,5.0,0.8333,45,21600,70,150.0,0.0,150.0,1.0,1.2963,0.1111,1,0,1,0.0222,0.0,0.0222,0,0.7556,0.2444,1.0,34,45,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8182,11,9,0.5412,0.1,0.1333,0.8222,0.0,0.2444,0.0,0.0,0.8182,0.0,0.0,0.0,1.2229,0.0,final_park,wall,0.9995,0.0
13,5.7195,2.79,0,1.0,0.1667,17,8160,70,150.0,0.0,150.0,1.0,0.6863,0.0588,1,0,1,0.0588,0.0,0.0588,0,1.0,0.0,1.0,17,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4444,9,4,0.5758,0.1,0.2941,0.8235,0.0588,0.5294,0.0,0.0,0.4444,0.0,0.0,0.0,0.753,0.0,enter_inner,obstacle,0.9994,0.0
14,32.964,16.08,0,3.0,0.5,23,11040,70,150.0,0.0,150.0,1.0,1.5217,0.1304,1,0,1,0.0435,0.0,0.0435,0,0.9565,0.0435,1.0,22,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6,5,3,0.5624,0.1,0.0435,0.6522,0.0435,0.2174,0.0,0.0,0.6,0.0,0.0,0.0,1.2468,0.0,return_outer,obstacle,0.9993,0.0
15,27.675,13.5,0,3.0,0.5,33,15840,70,150.0,0.0,150.0,1.0,1.0606,0.0909,0,1,1,0.0,0.0303,0.0303,0,0.7879,0.2121,1.0,26,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5263,19,10,0.6379,0.1,0.3333,0.9091,0.1818,0.5758,0.0,0.0,0.5263,0.0,0.0,0.0,1.5286,0.0,return_outer,red_light,0.9992,0.0
16,5.658,2.76,0,1.0,0.1667,15,7200,70,150.0,0.0,150.0,1.0,0.7778,0.0667,0,1,1,0.0,0.0667,0.0667,0,0.8,0.2,1.0,12,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.75,4,3,0.531,0.1,0.0667,0.8,0.0667,0.2667,0.0,0.0,0.75,0.0,0.0,0.0,0.6277,0.0,enter_inner,red_light,0.9992,0.0
17,3.8745,1.89,0,1.0,0.1667,18,8640,70,150.0,0.0,150.0,1.0,0.6481,0.0556,1,0,1,0.0556,0.0,0.0556,0,0.7778,0.2222,1.0,14,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6667,9,6,0.5371,0.1,0.1111,0.8889,0.0,0.5,0.0,0.0,0.6667,0.0,0.0,0.0,0.9257,0.0,enter_inner,obstacle,0.9991,0.0
