episode,runtime_sec,steps,reward,failure_reason,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls,third_reward10_count,third_reward10_three,collision_flag
1,49.632651,496,98.000,,1,1,1,1,1,1,96,84,128,40,112,36,1.009928,0.960941,1.030720,1.063548,0.916891,1.056957,"0,1,2,3,4,5",2,0,0
1,49.841338,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.037397,0.917989,0.961633,0.953271,1.044728,1.046470,"0,1,2,3,4,5",2,0,0
1,49.813698,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.031786,0.922870,0.965738,0.961146,1.047119,1.041378,"0,1,2,3,4,5",2,0,0
1,49.842704,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.027497,0.921002,0.974058,0.957198,1.052210,1.044626,"0,1,2,3,4,5",2,0,0
1,49.924753,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.034978,0.928235,0.972721,0.957111,1.056796,1.033003,"0,1,2,3,4,5",2,0,0
1,49.863431,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.038135,0.917824,0.975028,0.965572,1.057095,1.035930,"0,1,2,3,4,5",2,0,0
