metric,value
method,DK-ABS w/o OS
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,42.415
avg_reward_all,23.8919
avg_success_all,0.2808
avg_stage_ratio_all,0.5539
avg_steps_all,27.1442
avg_equivalent_env_steps_all,13029.216
avg_completion_time_steps_all,61.2346
avg_normalized_completion_time_all,0.8748
avg_route_efficiency_all,1.2024
avg_progress_per_step_all,0.1031
avg_collisions_all,0.6504
avg_violations_all,0.0688
avg_unsafe_rate_all,0.7192
avg_collision_rate_all,0.0548
avg_violation_rate_all,0.0037
avg_unsafe_event_rate_all,0.0585
avg_planner_accuracy_all,0.3585
avg_planner_miss_ratio_all,0.6415
avg_planner_legal_ratio_all,0.3944
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6276
avg_critical_events_all,8.2758
avg_critical_safe_all,5.4308
avg_risk_exposure_all,0.5543
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.1138
avg_hazard_step_ratio_all,0.7582
avg_red_light_exposure_ratio_all,0.0475
avg_critical_event_rate_all,0.29
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6276
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.9662
avg_safety_entropy_all,0.0
total_equivalent_env_steps,65146080
