method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
EFSR,UGV Street Patrol Parking,5000,5000,55.5971,27.1205,0.5012,0.7877,28.679,13765.92,53.128,0.759,1.3928,0.1194,0.4068,0.0348,0.4416,0.0305,0.0025,0.033,0.6997,0.3003,0.8405,0.0,0.227,1.2442,3.4952,0.1387,0.0352,0.6839,0.2808,0.9648,3.2322,6.4858,0.4609,7.8562,3.6806,0.5496,0.1,0.0929,0.7598,0.0356,0.2757,0.4578,0.4609,0.448,0.3357,0.0572,0.0571,0.657,0.5753,68829600,Chapter 4 Patrol Ablation,efsr,patrol,42
EFSR w/o EF,UGV Street Patrol Parking,5000,5000,45.5013,22.1958,0.4508,0.7472,23.412,11237.76,60.0532,0.8579,1.1461,0.0982,0.5192,0.0432,0.5624,0.0502,0.0042,0.0545,0.7143,0.2857,0.8659,0.0,0.2354,1.0899,2.6809,0.1195,0.0336,0.7027,0.2637,0.9664,1.7624,6.9704,0.2432,8.4234,1.9848,0.5424,0.1,0.0822,0.7429,0.0322,0.2677,0.6308,0.2432,0.2299,0.3152,0.0518,0.0517,0.6201,0.5365,56188800,Chapter 4 Patrol Ablation,efsr_wo_ef,patrol,42
EFSR w/o RV,UGV Street Patrol Parking,5000,5000,42.4197,20.6925,0.4236,0.724,21.1896,10171.008,62.5424,0.8935,1.0164,0.0871,0.5274,0.0442,0.5716,0.0615,0.0048,0.0663,0.7284,0.2716,0.8782,0.0,0.2326,1.0123,2.3197,0.109,0.0314,0.7231,0.2455,0.9686,2.3062,7.6338,0.2883,9.0706,2.578,0.5394,0.1,0.0765,0.7363,0.0308,0.2621,0.8276,0.2883,0.2757,0.3201,0.0529,0.053,0.58,0.5459,50855040,Chapter 4 Patrol Ablation,efsr_wo_rv,patrol,42
