suite,method_key,method,scenario,scenario_key,seed_count,avg_behavior_entropy_all_mean,avg_behavior_entropy_all_std,avg_behavior_entropy_all_min,avg_behavior_entropy_all_max,avg_collision_rate_all_mean,avg_collision_rate_all_std,avg_collision_rate_all_min,avg_collision_rate_all_max,avg_collisions_all_mean,avg_collisions_all_std,avg_collisions_all_min,avg_collisions_all_max,avg_compensation_utilization_all_mean,avg_compensation_utilization_all_std,avg_compensation_utilization_all_min,avg_compensation_utilization_all_max,avg_completion_time_steps_all_mean,avg_completion_time_steps_all_std,avg_completion_time_steps_all_min,avg_completion_time_steps_all_max,avg_critical_event_rate_all_mean,avg_critical_event_rate_all_std,avg_critical_event_rate_all_min,avg_critical_event_rate_all_max,avg_critical_events_all_mean,avg_critical_events_all_std,avg_critical_events_all_min,avg_critical_events_all_max,avg_critical_safe_all_mean,avg_critical_safe_all_std,avg_critical_safe_all_min,avg_critical_safe_all_max,avg_equivalent_env_steps_all_mean,avg_equivalent_env_steps_all_std,avg_equivalent_env_steps_all_min,avg_equivalent_env_steps_all_max,avg_follow_ratio_all_mean,avg_follow_ratio_all_std,avg_follow_ratio_all_min,avg_follow_ratio_all_max,avg_hazard_step_ratio_all_mean,avg_hazard_step_ratio_all_std,avg_hazard_step_ratio_all_min,avg_hazard_step_ratio_all_max,avg_high_risk_step_ratio_all_mean,avg_high_risk_step_ratio_all_std,avg_high_risk_step_ratio_all_min,avg_high_risk_step_ratio_all_max,avg_idle_ratio_all_mean,avg_idle_ratio_all_std,avg_idle_ratio_all_min,avg_idle_ratio_all_max,avg_intervention_rate_all_mean,avg_intervention_rate_all_std,avg_intervention_rate_all_min,avg_intervention_rate_all_max,avg_latency_penalty_all_mean,avg_latency_penalty_all_std,avg_latency_penalty_all_min,avg_latency_penalty_all_max,avg_normalized_completion_time_all_mean,avg_normalized_completion_time_all_std,avg_normalized_completion_time_all_min,avg_normalized_completion_time_all_max,avg_observed_risk_all_mean,avg_observed_risk_all_std,avg_observed_risk_all_min,avg_observed_risk_all_max,avg_planner_accuracy_all_mean,avg_planner_accuracy_all_std,avg_planner_accuracy_all_min,avg_planner_accuracy_all_max,avg_planner_legal_ratio_all_mean,avg_planner_legal_ratio_all_std,avg_planner_legal_ratio_all_min,avg_planner_legal_ratio_all_max,avg_planner_miss_ratio_all_mean,avg_planner_miss_ratio_all_std,avg_planner_miss_ratio_all_min,avg_planner_miss_ratio_all_max,avg_progress_per_step_all_mean,avg_progress_per_step_all_std,avg_progress_per_step_all_min,avg_progress_per_step_all_max,avg_red_light_exposure_ratio_all_mean,avg_red_light_exposure_ratio_all_std,avg_red_light_exposure_ratio_all_min,avg_red_light_exposure_ratio_all_max,avg_reward_all_mean,avg_reward_all_std,avg_reward_all_min,avg_reward_all_max,avg_risk_exposure_all_mean,avg_risk_exposure_all_std,avg_risk_exposure_all_min,avg_risk_exposure_all_max,avg_route_efficiency_all_mean,avg_route_efficiency_all_std,avg_route_efficiency_all_min,avg_route_efficiency_all_max,avg_safety_entropy_all_mean,avg_safety_entropy_all_std,avg_safety_entropy_all_min,avg_safety_entropy_all_max,avg_safety_interventions_all_mean,avg_safety_interventions_all_std,avg_safety_interventions_all_min,avg_safety_interventions_all_max,avg_safety_precision_all_mean,avg_safety_precision_all_std,avg_safety_precision_all_min,avg_safety_precision_all_max,avg_safety_recall_all_mean,avg_safety_recall_all_std,avg_safety_recall_all_min,avg_safety_recall_all_max,avg_safety_saved_all_mean,avg_safety_saved_all_std,avg_safety_saved_all_min,avg_safety_saved_all_max,avg_safety_success_rate_all_mean,avg_safety_success_rate_all_std,avg_safety_success_rate_all_min,avg_safety_success_rate_all_max,avg_score_all_mean,avg_score_all_std,avg_score_all_min,avg_score_all_max,avg_select_ratio_all_mean,avg_select_ratio_all_std,avg_select_ratio_all_min,avg_select_ratio_all_max,avg_stage_latency_seconds_all_mean,avg_stage_latency_seconds_all_std,avg_stage_latency_seconds_all_min,avg_stage_latency_seconds_all_max,avg_stage_ratio_all_mean,avg_stage_ratio_all_std,avg_stage_ratio_all_min,avg_stage_ratio_all_max,avg_steer_left_ratio_all_mean,avg_steer_left_ratio_all_std,avg_steer_left_ratio_all_min,avg_steer_left_ratio_all_max,avg_steer_right_ratio_all_mean,avg_steer_right_ratio_all_std,avg_steer_right_ratio_all_min,avg_steer_right_ratio_all_max,avg_steps_all_mean,avg_steps_all_std,avg_steps_all_min,avg_steps_all_max,avg_stop_ratio_all_mean,avg_stop_ratio_all_std,avg_stop_ratio_all_min,avg_stop_ratio_all_max,avg_success_all_mean,avg_success_all_std,avg_success_all_min,avg_success_all_max,avg_target_hits_all_mean,avg_target_hits_all_std,avg_target_hits_all_min,avg_target_hits_all_max,avg_unsafe_event_rate_all_mean,avg_unsafe_event_rate_all_std,avg_unsafe_event_rate_all_min,avg_unsafe_event_rate_all_max,avg_unsafe_rate_all_mean,avg_unsafe_rate_all_std,avg_unsafe_rate_all_min,avg_unsafe_rate_all_max,avg_violation_rate_all_mean,avg_violation_rate_all_std,avg_violation_rate_all_min,avg_violation_rate_all_max,avg_violations_all_mean,avg_violations_all_std,avg_violations_all_min,avg_violations_all_max,avg_wait_ratio_all_mean,avg_wait_ratio_all_std,avg_wait_ratio_all_min,avg_wait_ratio_all_max,avg_wait_time_all_mean,avg_wait_time_all_std,avg_wait_time_all_min,avg_wait_time_all_max,episodes_mean,episodes_std,episodes_min,episodes_max,summary_window_mean,summary_window_std,summary_window_min,summary_window_max,total_equivalent_env_steps_mean,total_equivalent_env_steps_std,total_equivalent_env_steps_min,total_equivalent_env_steps_max,avg_completion_time_seconds_all_max,avg_completion_time_seconds_all_mean,avg_completion_time_seconds_all_min,avg_completion_time_seconds_all_std,avg_latency_time_seconds_all_max,avg_latency_time_seconds_all_mean,avg_latency_time_seconds_all_min,avg_latency_time_seconds_all_std,avg_nominal_completion_time_seconds_all_max,avg_nominal_completion_time_seconds_all_mean,avg_nominal_completion_time_seconds_all_min,avg_nominal_completion_time_seconds_all_std
Chapter 4 Road Comparison,efsr,EFSR,UGV Complex Road Passage,road,3,0.7779,0.0034,0.774,0.7801,0.0732,0.0019,0.071,0.0744,0.3483,0.0042,0.3448,0.353,0.9051,0.0011,0.9043,0.9064,37.2387,0.2884,37.0165,37.5647,0.3299,0.0009,0.3289,0.3306,4.2888,0.0128,4.2763,4.3018,2.1939,0.0099,2.1862,2.205,3842.1867,4.1448,3837.52,3845.44,0.3682,0.0007,0.3674,0.3686,0.4532,0.0012,0.4521,0.4545,0.2754,0.0001,0.2753,0.2755,0.4583,0.0009,0.4576,0.4594,0.3739,0.0007,0.3734,0.3747,3.842,0.0109,3.8297,3.8502,0.4655,0.0036,0.4627,0.4696,0.1,0.0,0.1,0.1,0.5212,0.0017,0.5193,0.5225,0.5469,0.0005,0.5466,0.5475,0.4788,0.0017,0.4775,0.4807,0.3596,0.0014,0.3585,0.3611,0.0573,0.0006,0.0567,0.0579,122.9508,0.3918,122.525,123.296,0.4815,0.0004,0.4811,0.4819,4.7943,0.018,4.78,4.8145,0.8647,0.0012,0.8634,0.8657,5.032,0.0141,5.0163,5.0438,0.4096,0.0046,0.4069,0.4149,0.518,0.0034,0.5149,0.5217,2.3756,0.0156,2.365,2.3935,0.518,0.0034,0.5149,0.5217,70.6623,0.1064,70.5652,70.7761,0.537,0.0018,0.5357,0.539,1.4318,0.0047,1.4289,1.4372,0.7703,0.0019,0.7681,0.7715,0.0975,0.0029,0.0942,0.0997,0.098,0.0014,0.0965,0.0992,12.0069,0.0129,11.9923,12.017,0.1784,0.0019,0.1767,0.1804,0.6517,0.0042,0.647,0.6552,2.2667,0.0148,2.257,2.2837,0.0732,0.0019,0.071,0.0744,0.3483,0.0042,0.3448,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0949,0.0011,0.0936,0.0957,0.2551,0.0055,0.2495,0.2604,4000.0,0.0,4000.0,4000.0,4000.0,0.0,4000.0,4000.0,15368746.6667,16579.3767,15350080.0,15381760.0,,,,,,,,,,,,
Chapter 4 Road Comparison,lacm,LACM,UGV Complex Road Passage,road,3,0.5847,0.006,0.5794,0.5912,0.0636,0.0012,0.0623,0.0643,0.5444,0.0039,0.54,0.547,0.7666,0.0041,0.7637,0.7713,38.1216,0.579,37.4635,38.5528,0.3421,0.0019,0.34,0.3435,4.7073,0.0252,4.6807,4.7307,2.8408,0.0162,2.828,2.859,4099.3333,13.1848,4084.16,4108.0,0.5695,0.0059,0.5644,0.5759,0.4688,0.0006,0.4682,0.4694,0.2858,0.0019,0.2837,0.2871,0.4528,0.0032,0.4501,0.4563,0.0,0.0,0.0,0.0,1.3368,0.0205,1.3138,1.3533,0.4765,0.0072,0.4683,0.4819,0.1,0.0,0.1,0.1,0.5208,0.0026,0.5178,0.5227,0.555,0.0035,0.5509,0.5574,0.4792,0.0026,0.4773,0.4822,0.3389,0.0035,0.3368,0.3429,0.0572,0.0012,0.056,0.0584,123.187,1.4613,122.0343,124.8305,0.4929,0.0001,0.4928,0.493,4.5183,0.0466,4.4905,4.5721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609,0.0081,0.6026,0.6181,0.0,0.0,0.0,0.0,0.609,0.0081,0.6026,0.6181,70.3389,0.7858,69.7309,71.2262,0.1971,0.0028,0.1954,0.2003,0.2335,0.0058,0.2268,0.2372,0.7697,0.0073,0.764,0.7779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8104,0.0412,12.763,12.8375,0.0,0.0,0.0,0.0,0.6483,0.0081,0.642,0.6575,2.2169,0.0312,2.188,2.25,0.0636,0.0012,0.0623,0.0643,0.5444,0.0039,0.54,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1919,0.0029,0.1885,0.1938,0.2335,0.0058,0.2268,0.2372,4000.0,0.0,4000.0,4000.0,4000.0,0.0,4000.0,4000.0,16397333.3333,52739.1973,16336640.0,16432000.0,105.2968,105.1311,104.8699,0.2289,0.8458,0.8355,0.8211,0.0128,104.4573,104.2956,104.0488,0.2171
Chapter 4 Road Comparison,oracle,Oracle,UGV Complex Road Passage,road,3,1.7504,0.0051,1.7459,1.7559,0.0044,0.0004,0.0041,0.0048,0.0585,0.0052,0.0548,0.0645,0.0,0.0,0.0,0.0,19.517,0.4874,19.0845,20.0452,0.0051,0.0003,0.0049,0.0054,0.0687,0.0027,0.0668,0.0717,0.0,0.0,0.0,0.0,4313.7867,10.5698,4301.76,4321.6,0.0,0.0,0.0,0.0,0.4975,0.0026,0.4951,0.5002,0.2715,0.0007,0.2709,0.2722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0061,0.2386,0.2506,0.1,0.0,0.1,0.1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4432,0.0013,0.4419,0.4444,0.0699,0.002,0.0676,0.0713,90.3947,0.0328,90.358,90.4213,0.5027,0.001,0.5019,0.5038,5.7161,0.0153,5.701,5.7315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3947,0.0328,90.358,90.4213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9532,0.0011,0.9522,0.9543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4806,0.033,13.443,13.505,0.0,0.0,0.0,0.0,0.9073,0.0073,0.8995,0.914,5.9071,0.0076,5.899,5.914,0.0051,0.0003,0.0049,0.0054,0.0687,0.0027,0.0668,0.0717,0.0008,0.0002,0.0006,0.0009,0.0102,0.0025,0.0073,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,4000.0,4000.0,4000.0,0.0,4000.0,4000.0,17255146.6667,42279.1738,17207040.0,17286400.0,,,,,,,,,,,,
