method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
EFSR,UGV Complex Road Passage,4000,4000,70.5652,122.525,0.647,0.7681,12.0113,3843.6,37.5647,0.4696,4.78,0.3585,0.353,0.0,0.353,0.0742,0.0,0.0742,0.5219,0.4781,0.5475,2.2593,0.2555,1.4289,3.8297,0.458,0.0957,0.3686,0.5357,0.9043,2.3935,5.0438,0.5217,4.2882,2.205,0.4811,0.1,0.2755,0.4521,0.0579,0.3289,0.3734,0.4149,0.5217,0.1782,0.0987,0.0965,0.7795,0.8634,15374400,Chapter 4 Road Ablation,efsr,road,43
EFSR w/o EF,UGV Complex Road Passage,4000,4000,59.2473,97.1711,0.4617,0.6458,10.6425,3405.6,49.685,0.6211,4.3758,0.3282,0.5383,0.0,0.5383,0.1078,0.0,0.1078,0.5425,0.4575,0.5735,1.8088,0.2514,1.4247,3.3121,0.4339,0.0796,0.5077,0.4127,0.9204,1.6395,3.4585,0.3816,3.7915,1.5485,0.4718,0.1,0.2842,0.4266,0.0475,0.3294,0.2852,0.3522,0.3816,0.131,0.0767,0.0775,0.7855,0.6975,13622400,Chapter 4 Road Ablation,efsr_wo_ef,road,43
EFSR w/o RV,UGV Complex Road Passage,4000,4000,48.7795,75.353,0.3015,0.5271,9.1657,2933.04,60.1962,0.7525,4.0097,0.3007,0.666,0.0,0.666,0.147,0.0,0.147,0.5787,0.4213,0.613,1.539,0.2299,1.3939,2.7838,0.3948,0.0695,0.5406,0.3899,0.9305,0.0803,0.6713,0.0255,3.2525,0.0803,0.4509,0.1,0.2838,0.3882,0.0372,0.3184,0.0607,0.0592,0.0255,0.0403,0.0138,0.0067,0.7291,0.1713,11732160,Chapter 4 Road Ablation,efsr_wo_rv,road,43
