metric,value
method,LACM
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,46.2961
avg_reward_all,25.9508
avg_success_all,0.4524
avg_stage_ratio_all,0.6651
avg_steps_all,30.4556
avg_equivalent_env_steps_all,14618.688
avg_completion_time_steps_all,56.7398
avg_nominal_completion_time_seconds_all,144.3171
avg_latency_time_seconds_all,0.7014
avg_completion_time_seconds_all,145.0184
avg_normalized_completion_time_all,0.8106
avg_route_efficiency_all,1.3803
avg_progress_per_step_all,0.1183
avg_collisions_all,0.5458
avg_violations_all,0.0
avg_unsafe_rate_all,0.5458
avg_collision_rate_all,0.0256
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0256
avg_planner_accuracy_all,0.8057
avg_planner_miss_ratio_all,0.1943
avg_planner_legal_ratio_all,0.8603
avg_target_hits_all,0.0
avg_wait_time_all,0.1858
avg_stage_latency_seconds_all,0.1858
avg_latency_penalty_all,1.0871
avg_idle_ratio_all,0.1394
avg_wait_ratio_all,0.168
avg_follow_ratio_all,0.2339
avg_select_ratio_all,0.5384
avg_compensation_utilization_all,0.7724
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6619
avg_critical_events_all,8.8192
avg_critical_safe_all,6.0458
avg_risk_exposure_all,0.5516
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0994
avg_hazard_step_ratio_all,0.7607
avg_red_light_exposure_ratio_all,0.0393
avg_critical_event_rate_all,0.2815
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6619
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.548
avg_safety_entropy_all,0.0
total_equivalent_env_steps,73093440
