episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
15,-10.0,-10.13,0,0.0,0.0,1,480,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,1.0,0.0,1.0,0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.5048,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
16,12.9255,6.3051,0,2.0,0.3333,21,10080,70,150.0,1.5451,151.5451,1.0,1.1111,0.0952,1,0,1,0.0476,0.0,0.0476,0,0.7143,0.2857,0.8095,15,17,21,0.7725,0.7725,2.3949,0.1905,0.5,0.0,0.5,0.5,0,0,0.75,4,3,0.5423,0.1,0.1429,0.7143,0.0476,0.1905,0.0,0.0,0.75,0.0,0.0,0.0,0.6931,0.0,inner_patrol,obstacle,0.98,0.0
17,36.6717,17.8886,0,4.0,0.6667,40,19200,70,150.0,2.4009,152.4009,1.0,1.1667,0.1,1,0,1,0.025,0.0,0.025,0,0.7,0.3,0.8,28,32,40,0.6002,0.6002,3.7214,0.175,0.4286,0.0,0.5714,0.5714,0,0,0.5882,17,10,0.6145,0.1,0.25,0.85,0.125,0.425,0.0,0.0,0.5882,0.0,0.0,0.0,0.6829,0.0,outer_patrol_b,road_edge,0.98,0.0
18,-10.0,-4.912,0,0.0,0.0,10,4800,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.1,0.0,0.1,0,0.9,0.1,1.0,9,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3,0,0.5133,0.1,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
19,29.9079,14.5892,0,4.0,0.6667,25,12000,70,150.0,0.7218,150.7218,1.0,1.8667,0.16,1,0,1,0.04,0.0,0.04,0,0.76,0.24,0.84,19,21,25,0.1804,0.1804,1.1188,0.16,0.25,0.0,0.75,0.75,0,0,0.8333,6,5,0.5479,0.1,0.08,0.84,0.0,0.24,0.0,0.0,0.8333,0.0,0.0,0.0,0.5623,0.0,outer_patrol_b,road_edge,0.98,0.0
20,38.9658,19.0077,0,4.0,0.6667,34,16320,70,150.0,1.3499,151.3499,1.0,1.3725,0.1176,1,0,1,0.0294,0.0,0.0294,0,0.7647,0.2353,0.8529,26,29,34,0.3375,0.3375,2.0923,0.1471,0.4,0.0,0.6,0.6,0,0,0.7692,13,10,0.563,0.1,0.0588,0.7059,0.0294,0.3824,0.0,0.0,0.7692,0.0,0.0,0.0,0.673,0.0,outer_patrol_b,road_edge,0.98,0.0
21,-10.0,-10.13,0,0.0,0.0,1,480,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,1.0,0.0,1.0,0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.489,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
22,27.6038,13.4653,0,4.0,0.6667,33,15840,70,150.0,2.7114,152.7114,1.0,1.4141,0.1212,1,0,1,0.0303,0.0,0.0303,0,0.8182,0.1818,0.8182,27,27,33,0.6779,0.6779,4.2027,0.1818,0.6667,0.0,0.3333,0.3333,0,0,0.7692,13,10,0.559,0.1,0.0909,0.8182,0.0303,0.3939,0.0,0.0,0.7692,0.0,0.0,0.0,0.6365,0.0,outer_patrol_b,road_edge,0.98,0.0
23,-9.6965,-4.73,0,0.0,0.0,9,4320,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.1111,0.0,0.1111,0,1.0,0.0,1.0,9,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.5009,0.1,0.0,0.6667,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
24,-10.0,-9.79,0,0.0,0.0,3,1440,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.3333,0.0,0.3333,0,1.0,0.0,1.0,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,2,1,0.5311,0.1,0.0,1.0,0.0,0.6667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
25,-10.0,-7.52,0,0.0,0.0,4,1920,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.25,0.0,0.25,0,1.0,0.0,1.0,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.4915,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
