metric,value
method,DK-ABS w/o DK
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,67.3281
avg_reward_all,116.8839
avg_success_all,0.6085
avg_stage_ratio_all,0.7378
avg_steps_all,12.8778
avg_equivalent_env_steps_all,4120.88
avg_completion_time_steps_all,40.9245
avg_normalized_completion_time_all,0.5116
avg_route_efficiency_all,4.2957
avg_progress_per_step_all,0.3222
avg_collisions_all,0.3915
avg_violations_all,0.0
avg_unsafe_rate_all,0.3915
avg_collision_rate_all,0.0688
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0688
avg_planner_accuracy_all,0.4527
avg_planner_miss_ratio_all,0.5473
avg_planner_legal_ratio_all,0.624
avg_target_hits_all,1.7235
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5223
avg_critical_events_all,4.3555
avg_critical_safe_all,2.3127
avg_risk_exposure_all,0.4753
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.27
avg_hazard_step_ratio_all,0.4365
avg_red_light_exposure_ratio_all,0.0505
avg_critical_event_rate_all,0.3192
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5223
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.5258
avg_safety_entropy_all,0.0
total_equivalent_env_steps,16483520
