episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
15,-4.1553,-2.027,0,2.0,0.3333,17,8160,70,150.0,1.2045,151.2045,1.0,1.3725,0.1176,1,0,1,0.0588,0.0,0.0588,0,0.8235,0.1765,0.8235,14,14,17,0.6023,0.6023,1.867,0.1765,0.6667,0.3333,0.0,0.3333,0,0,1.0,3,3,0.5288,0.1,0.1176,0.7647,0.0,0.1765,0.0,0.0,1.0,0.0,0.0,0.0,0.6365,0.0,inner_patrol,obstacle,0.98,0.0
16,55.5534,27.0992,1,6.0,1.0,44,21120,44,138.8571,2.9102,141.7673,0.6286,1.5909,0.1364,0,0,0,0.0,0.0,0.0,0,0.7727,0.2273,0.8409,34,37,44,0.582,0.582,4.5108,0.1591,0.5714,0.0,0.4286,0.4286,0,0,0.7333,15,11,0.5766,0.1,0.1591,0.7045,0.0909,0.3409,0.0,0.0,0.7333,0.0,0.0,0.0,0.6829,0.0,completed,,0.98,0.0
17,71.4015,34.83,1,6.0,1.0,38,18240,38,136.2857,0.0,136.2857,0.5429,1.8421,0.1579,0,0,0,0.0,0.0,0.0,0,0.8158,0.1842,0.8684,31,33,38,0.0,0.0,0.0,0.1316,0.0,0.2,0.8,1.0,0,0,0.8,10,8,0.5447,0.1,0.0263,0.7895,0.0263,0.2632,0.0,0.0,0.8,0.0,0.0,0.0,0.5004,0.0,completed,,0.98,0.0
18,12.6946,6.1925,0,4.0,0.6667,26,12480,70,150.0,0.7184,150.7184,1.0,1.7949,0.1538,1,0,1,0.0385,0.0,0.0385,0,0.6923,0.3077,0.8077,18,21,26,0.1796,0.1796,1.1135,0.1923,0.2,0.6,0.2,0.8,0,0,0.875,8,7,0.5612,0.1,0.0385,0.7308,0.0385,0.3077,0.0,0.0,0.875,0.0,0.0,0.0,0.9503,0.0,outer_patrol_b,road_edge,0.98,0.0
19,23.6083,11.5162,0,5.0,0.8333,41,19680,70,150.0,0.6721,150.6721,1.0,1.4228,0.122,1,0,1,0.0244,0.0,0.0244,0,0.7805,0.2195,0.8537,32,35,41,0.1344,0.1344,1.0418,0.1463,0.1667,0.3333,0.5,0.8333,0,0,0.75,12,9,0.5495,0.1,0.0488,0.7561,0.0244,0.2927,0.0,0.0,0.75,0.0,0.0,0.0,1.0114,0.0,final_park,wall,0.98,0.0
20,-10.0,-5.4848,0,1.0,0.1667,15,7200,70,150.0,0.745,150.745,1.0,0.7778,0.0667,1,0,1,0.0667,0.0,0.0667,0,0.8667,0.1333,0.8667,13,13,15,0.745,0.745,1.1548,0.1333,0.5,0.5,0.0,0.5,0,0,0.6667,3,2,0.5158,0.1,0.0667,0.7333,0.0,0.2,0.0,0.0,0.6667,0.0,0.0,0.0,0.6931,0.0,enter_inner,obstacle,0.98,0.0
21,-5.1314,-2.5031,0,2.0,0.3333,18,8640,70,150.0,0.6794,150.6794,1.0,1.2963,0.1111,1,0,1,0.0556,0.0,0.0556,0,0.7778,0.2222,0.8333,14,15,18,0.3397,0.3397,1.0531,0.1667,0.3333,0.3333,0.3333,0.6667,0,0,0.75,4,3,0.5434,0.1,0.1111,0.7222,0.0556,0.2222,0.0,0.0,0.75,0.0,0.0,0.0,1.0986,0.0,inner_patrol,obstacle,0.98,0.0
22,10.7039,5.2214,0,5.0,0.8333,48,23040,70,150.0,2.3681,152.3681,1.0,1.2153,0.1042,1,0,1,0.0208,0.0,0.0208,0,0.75,0.25,0.8125,36,39,48,0.4736,0.4736,3.6706,0.1875,0.3333,0.1111,0.5556,0.6667,0,0,0.3846,13,5,0.5692,0.1,0.1042,0.7917,0.0417,0.2708,0.0,0.0,0.3846,0.0,0.0,0.0,0.9369,0.0,final_park,wall,0.98,0.0
23,53.0533,25.8797,1,6.0,1.0,45,21600,45,139.2857,3.4493,142.735,0.6429,1.5556,0.1333,0,0,0,0.0,0.0,0.0,0,0.7556,0.2444,0.8222,34,37,45,0.6899,0.6899,5.3463,0.1778,0.625,0.125,0.25,0.375,0,0,0.8462,13,11,0.5693,0.1,0.1111,0.7778,0.0667,0.2889,0.0,0.0,0.8462,0.0,0.0,0.0,0.9003,0.0,completed,,0.98,0.0
24,0.0055,0.0027,0,3.0,0.5,28,13440,70,150.0,0.6796,150.6796,1.0,1.25,0.1071,1,0,1,0.0357,0.0,0.0357,0,0.8214,0.1786,0.8571,23,24,28,0.2265,0.2265,1.0533,0.1429,0.25,0.25,0.5,0.75,0,0,0.5,12,6,0.5536,0.1,0.0714,0.7857,0.0,0.4286,0.0,0.0,0.5,0.0,0.0,0.0,1.0397,0.0,return_outer,obstacle,0.98,6.214282
25,-10.0,-5.58,0,0.0,0.0,11,5280,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.0909,0.0,0.0909,0,1.0,0.0,1.0,11,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5177,0.1,0.0,0.6364,0.0,0.2727,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,5.393578
26,-6.3921,-3.1181,0,3.0,0.5,29,13920,70,150.0,2.2478,152.2478,1.0,1.2069,0.1034,1,0,1,0.0345,0.0,0.0345,0,0.6897,0.3103,0.8276,20,24,29,0.7493,0.7493,3.4841,0.1724,0.6,0.0,0.4,0.4,0,0,0.7143,7,5,0.5507,0.1,0.1034,0.8621,0.0,0.2414,0.0,0.0,0.7143,0.0,0.0,0.0,0.673,0.0,return_outer,obstacle,0.98,5.160084
27,-10.0,-10.7209,0,1.0,0.1667,21,10080,70,150.0,0.7425,150.7425,1.0,0.5556,0.0476,1,0,1,0.0476,0.0,0.0476,0,0.5714,0.4286,0.9048,12,19,21,0.7425,0.7425,1.1509,0.0952,0.5,0.5,0.0,0.5,0,0,0.6667,6,4,0.5397,0.1,0.0952,0.8571,0.0952,0.2857,0.0,0.0,0.6667,0.0,0.0,0.0,0.6931,0.0,enter_inner,obstacle,0.98,5.729312
28,-7.3431,-3.582,0,1.0,0.1667,14,6720,70,150.0,0.0,150.0,1.0,0.8333,0.0714,1,0,1,0.0714,0.0,0.0714,0,0.8571,0.1429,0.9286,12,13,14,0.0,0.0,0.0,0.0714,0.0,0.0,1.0,1.0,0,0,1.0,1,1,0.5113,0.1,0.0,0.5714,0.0,0.0714,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,5.680584
29,-10.0,-10.837,0,1.0,0.1667,21,10080,70,150.0,1.5271,151.5271,1.0,0.5556,0.0476,0,1,1,0.0,0.0476,0.0476,0,0.7143,0.2857,0.8571,15,18,21,1.5271,1.5271,2.367,0.0952,1.0,0.0,0.0,0.0,0,0,0.6,10,6,0.6293,0.1,0.2857,0.7143,0.2381,0.4762,0.0,0.0,0.6,0.0,0.0,0.0,-0.0,0.0,enter_inner,red_light,0.98,5.44592
30,13.0726,6.3769,0,5.0,0.8333,45,21600,70,150.0,2.3362,152.3362,1.0,1.2963,0.1111,1,0,1,0.0222,0.0,0.0222,0,0.7778,0.2222,0.8444,35,38,45,0.4672,0.4672,3.6211,0.1778,0.375,0.25,0.375,0.625,0,0,0.625,16,10,0.5623,0.1,0.0889,0.8444,0.0444,0.3556,0.0,0.0,0.625,0.0,0.0,0.0,1.0822,0.0,final_park,wall,0.98,5.513617
31,-0.451,-0.22,0,2.0,0.3333,16,7680,70,150.0,0.0,150.0,1.0,1.4583,0.125,1,0,1,0.0625,0.0,0.0625,0,0.8125,0.1875,0.875,13,14,16,0.0,0.0,0.0,0.125,0.0,0.5,0.5,1.0,0,0,0.8333,6,5,0.5474,0.1,0.0625,0.875,0.0625,0.375,0.0,0.0,0.8333,0.0,0.0,0.0,0.6931,0.0,inner_patrol,obstacle,0.98,5.096252
32,18.1564,8.8568,0,4.0,0.6667,41,19680,70,150.0,1.6524,151.6524,1.0,1.1382,0.0976,1,0,1,0.0244,0.0,0.0244,0,0.7805,0.2195,0.8537,32,35,41,0.4131,0.4131,2.5612,0.1463,0.3333,0.5,0.1667,0.6667,0,0,0.7059,17,12,0.5645,0.1,0.0976,0.7317,0.0488,0.4146,0.0,0.0,0.7059,0.0,0.0,0.0,1.0114,0.0,outer_patrol_b,road_edge,0.98,4.603783
33,48.7628,23.7867,1,6.0,1.0,46,22080,46,139.7143,3.9363,143.6506,0.6571,1.5217,0.1304,0,0,0,0.0,0.0,0.0,0,0.7174,0.2826,0.8261,33,38,46,0.7873,0.7873,6.1013,0.1739,0.625,0.125,0.25,0.375,0,0,0.7222,18,13,0.5637,0.1,0.1304,0.8043,0.0435,0.3913,0.0,0.0,0.7222,0.0,0.0,0.0,0.9003,0.0,completed,,0.98,4.860362
34,58.7449,28.656,1,6.0,1.0,43,20640,43,138.4286,1.5316,139.9602,0.6143,1.6279,0.1395,0,0,0,0.0,0.0,0.0,0,0.7674,0.2326,0.8605,33,37,43,0.3063,0.3063,2.374,0.1395,0.3333,0.3333,0.3333,0.6667,0,0,0.6364,11,7,0.5444,0.1,0.0465,0.6977,0.0233,0.2558,0.0,0.0,0.6364,0.0,0.0,0.0,1.0986,0.0,completed,,0.98,4.62827
35,50.8005,24.7807,1,6.0,1.0,44,21120,44,138.8571,4.1866,143.0438,0.6286,1.5909,0.1364,0,0,0,0.0,0.0,0.0,0,0.7273,0.2727,0.7955,32,35,44,0.8373,0.8373,6.4893,0.1818,0.625,0.25,0.125,0.375,0,0,0.7647,17,13,0.6046,0.1,0.2045,0.7955,0.1136,0.3864,0.0,0.0,0.7647,0.0,0.0,0.0,0.9003,0.0,completed,,0.98,4.05734
