Method,SCORE,UVR,SR,SCSR
EFSR,70.78 +- 0.00,34.70 +- 0.00,65.30 +- 0.00,51.73 +- 0.00
EFSR w/o EF,59.35 +- 0.00,53.52 +- 0.00,46.48 +- 0.00,38.19 +- 0.00
EFSR w/o RV,48.86 +- 0.00,69.38 +- 0.00,30.63 +- 0.00,6.12 +- 0.00
