episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
20,-7.5503,-3.6831,0,1,0.1667,18,8640,70,150,3.156,153.156,1,0.6481,0.0556,1,0,1,0.0556,0,0.0556,0,0.7778,0.2222,1,14,18,18,1.578,1.578,5.5231,0.1111,1.0,0.0,0.0,0.0,0,0,0.5714,7,4,0.5113,0.1,0.0556,0.8333,0,0.3889,0,0,0.5714,0,0,0,0.7867,0,enter_inner,obstacle,0.9983,0
21,-0.1987,-0.0969,0,3,0.5,40,19200,70,150,5.9297,155.9297,1,0.875,0.075,1,0,1,0.025,0,0.025,0,0.65,0.35,1,26,40,40,1.4824,1.4824,10.3769,0.1,1.0,0.0,0.0,0.0,0,0,0.2143,14,3,0.5746,0.1,0.2,0.775,0.05,0.35,0,0,0.2143,0,0,0,1.3022,0,return_outer,obstacle,0.9982,0
22,6.7478,3.2916,0,3,0.5,31,14880,70,150,5.6334,155.6334,1,1.129,0.0968,1,0,1,0.0323,0,0.0323,0,0.7097,0.2903,1,22,31,31,1.4083,1.4083,9.8584,0.129,1.0,0.0,0.0,0.0,0,0,0.6667,15,10,0.5692,0.1,0.129,0.9355,0,0.4839,0,0,0.6667,0,0,0,1.487,0,return_outer,obstacle,0.9981,0
23,3.1768,1.5497,0,2,0.3333,25,12000,70,150,4.5373,154.5373,1,0.9333,0.08,1,0,1,0.04,0,0.04,0,0.72,0.28,1,18,25,25,1.5124,1.5124,7.9403,0.12,1.0,0.0,0.0,0.0,0,0,0.6667,9,6,0.556,0.1,0.08,0.84,0.04,0.36,0,0,0.6667,0,0,0,1.3188,0,inner_patrol,obstacle,0.9979,0
24,-3.5269,-1.7204,0,0,0,13,6240,70,150,1.326,151.326,1,0,0,1,0,1,0.0769,0,0.0769,0,0.8462,0.1538,1,11,13,13,1.326,1.326,2.3204,0.0769,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.4913,0.1,0,0.5385,0,0.2308,0,0,0.6667,0,0,0,0.4293,0,outer_patrol_a,road_edge,0.9978,0
25,69.6387,33.9701,1,6,1,50,24000,50,141.4286,9.1142,150.5428,0.7143,1.4,0.12,0,0,0,0,0,0,0,0.78,0.22,1,39,50,50,1.519,1.519,15.9499,0.12,1.0,0.0,0.0,0.0,0,0,0.4545,11,5,0.5538,0.1,0.1,0.76,0.02,0.22,0,0,0.4545,0,0,0,1.3017,0,completed,,0.9977,0
26,-0.078,-0.0381,0,3,0.5,40,19200,70,150,6.0846,156.0846,1,0.875,0.075,1,0,1,0.025,0,0.025,0,0.675,0.325,1,27,40,40,1.5212,1.5212,10.6481,0.1,1.0,0.0,0.0,0.0,0,0,0.3158,19,6,0.6016,0.1,0.25,0.825,0.1,0.475,0,0,0.3158,0,0,0,1.4114,0,return_outer,obstacle,0.9976,0
27,63.1051,30.783,1,6,1,61,29280,61,146.1429,8.8783,155.0212,0.8714,1.1475,0.0984,0,0,0,0,0,0,0,0.6721,0.3279,1,41,61,61,1.4797,1.4797,15.537,0.0984,1.0,0.0,0.0,0.0,0,0,0.4545,22,10,0.57,0.1,0.1803,0.7541,0.0492,0.3607,0,0,0.4545,0,0,0,1.3905,0,completed,,0.9975,0
28,-7.428,-3.6234,0,1,0.1667,18,8640,70,150,3.1677,153.1677,1,0.6481,0.0556,1,0,1,0.0556,0,0.0556,0,0.8333,0.1667,1,15,18,18,1.5838,1.5838,5.5434,0.1111,1.0,0.0,0.0,0.0,0,0,0.4,5,2,0.5106,0.1,0,0.8889,0,0.2778,0,0,0.4,0,0,0,0.7867,0,enter_inner,obstacle,0.9973,0
29,70.0183,34.1553,1,6,1,51,24480,51,141.8571,8.757,150.6141,0.7286,1.3725,0.1176,0,0,0,0,0,0,0,0.7451,0.2549,1,38,51,51,1.4595,1.4595,15.3247,0.1176,1.0,0.0,0.0,0.0,0,0,0.5333,15,8,0.5551,0.1,0.1176,0.8235,0.0392,0.2941,0,0,0.5333,0,0,0,1.2994,0,completed,,0.9972,0
