metric,value
method,HSD-3
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,29.7144
avg_reward_all,17.0069
avg_success_all,0.2636
avg_stage_ratio_all,0.4173
avg_steps_all,22.0328
avg_equivalent_env_steps_all,10575.744
avg_completion_time_steps_all,61.806
avg_normalized_completion_time_all,0.8829
avg_route_efficiency_all,0.9247
avg_progress_per_step_all,0.0793
avg_collisions_all,0.696
avg_violations_all,0.0396
avg_unsafe_rate_all,0.7356
avg_collision_rate_all,0.1042
avg_violation_rate_all,0.0022
avg_unsafe_event_rate_all,0.1064
avg_planner_accuracy_all,0.2505
avg_planner_miss_ratio_all,0.7495
avg_planner_legal_ratio_all,0.2894
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5834
avg_critical_events_all,6.747
avg_critical_safe_all,4.274
avg_risk_exposure_all,0.5444
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0921
avg_hazard_step_ratio_all,0.7423
avg_red_light_exposure_ratio_all,0.039
avg_critical_event_rate_all,0.2793
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5834
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.8953
avg_safety_entropy_all,0.0
total_equivalent_env_steps,52878720
