metric,value
method,LACM w/o FOLLOW
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,69.6388
avg_reward_all,121.2292
avg_success_all,0.6452
avg_stage_ratio_all,0.767
avg_steps_all,13.258
avg_equivalent_env_steps_all,4242.56
avg_completion_time_steps_all,38.6927
avg_nominal_completion_time_seconds_all,104.5098
avg_latency_time_seconds_all,1.3064
avg_completion_time_seconds_all,105.8161
avg_normalized_completion_time_all,0.4837
avg_route_efficiency_all,4.365
avg_progress_per_step_all,0.3274
avg_collisions_all,0.3548
avg_violations_all,0.0
avg_unsafe_rate_all,0.3548
avg_collision_rate_all,0.0686
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0686
avg_planner_accuracy_all,0.533
avg_planner_miss_ratio_all,0.467
avg_planner_legal_ratio_all,0.5619
avg_target_hits_all,2.0442
avg_wait_time_all,0.361
avg_stage_latency_seconds_all,0.361
avg_latency_penalty_all,2.0902
avg_idle_ratio_all,0.4506
avg_wait_ratio_all,0.2937
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.6695
avg_compensation_utilization_all,0.6695
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6249
avg_critical_events_all,4.8907
avg_critical_safe_all,3.1065
avg_risk_exposure_all,0.4982
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2907
avg_hazard_step_ratio_all,0.4764
avg_red_light_exposure_ratio_all,0.057
avg_critical_event_rate_all,0.3478
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6249
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.3963
avg_safety_entropy_all,0.0
total_equivalent_env_steps,16970240
