episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
15,-10.0,-8.76,0,0.0,0.0,2,960,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.5,0.0,0.5,0,1.0,0.0,1.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.4954,0.1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,outer_patrol_a,road_edge,0.9989,0.0
16,0.82,0.4,0,1.0,0.1667,22,10560,70,150.0,0.0,150.0,1.0,0.5303,0.0455,1,0,1,0.0455,0.0,0.0455,0,0.6364,0.3636,1.0,14,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.25,4,1,0.5259,0.1,0.0455,0.8636,0.0,0.1818,0.0,0.0,0.25,0.0,0.0,0.0,0.8368,0.0,enter_inner,obstacle,0.9988,0.0
17,29.8685,14.57,0,3.0,0.5,27,12960,70,150.0,0.0,150.0,1.0,1.2963,0.1111,1,0,1,0.037,0.0,0.037,0,0.8519,0.1481,1.0,23,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.75,8,6,0.5582,0.1,0.0741,0.8519,0.0,0.2963,0.0,0.0,0.75,0.0,0.0,0.0,1.3889,0.0,return_outer,obstacle,0.9987,0.0
18,86.0,49.89,1,6.0,1.0,49,23520,49,141.0,0.0,141.0,0.7,1.4286,0.1224,0,0,0,0.0,0.0,0.0,0,0.7347,0.2653,1.0,36,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7143,14,10,0.536,0.1,0.0612,0.7755,0.0,0.2857,0.0,0.0,0.7143,0.0,0.0,0.0,1.3032,0.0,completed,,0.9985,0.0
19,-10.0,-6.88,0,0.0,0.0,5,2400,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.2,0.0,0.2,0,0.8,0.2,1.0,4,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,1,0.491,0.1,0.0,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.5004,0.0,outer_patrol_a,road_edge,0.9984,0.0
20,86.0,49.42,1,6.0,1.0,53,25440,53,142.7143,0.0,142.7143,0.7571,1.3208,0.1132,0,0,0,0.0,0.0,0.0,0,0.7547,0.2453,1.0,40,53,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4375,16,7,0.5707,0.1,0.1509,0.8113,0.0566,0.3019,0.0,0.0,0.4375,0.0,0.0,0.0,1.4252,0.0,completed,,0.9983,0.0
21,86.0,45.05,1,6.0,1.0,65,31200,65,147.8571,0.0,147.8571,0.9286,1.0769,0.0923,0,0,0,0.0,0.0,0.0,0,0.6154,0.3846,1.0,40,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3158,19,6,0.581,0.1,0.1385,0.8154,0.0923,0.2923,0.0,0.0,0.3158,0.0,0.0,0.0,1.337,0.0,completed,,0.9982,0.0
22,18.655,9.1,0,3.0,0.5,49,23520,70,150.0,0.0,150.0,1.0,0.7143,0.0612,1,0,1,0.0204,0.0,0.0204,0,0.6735,0.3265,1.0,33,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1923,26,5,0.6681,0.1,0.3878,0.898,0.2041,0.5306,0.0,0.0,0.1923,0.0,0.0,0.0,1.4958,0.0,return_outer,obstacle,0.9981,0.0
23,-0.3895,-0.19,0,1.0,0.1667,24,11520,70,150.0,0.0,150.0,1.0,0.4861,0.0417,1,0,1,0.0417,0.0,0.0417,0,0.625,0.375,1.0,15,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0,0.5268,0.1,0.125,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9762,0.0,enter_inner,obstacle,0.9979,0.0
24,3.608,1.76,0,1.0,0.1667,18,8640,70,150.0,0.0,150.0,1.0,0.6481,0.0556,1,0,1,0.0556,0.0,0.0556,0,0.7222,0.2778,1.0,13,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6,5,3,0.5143,0.1,0.0556,0.7778,0.0,0.2778,0.0,0.0,0.6,0.0,0.0,0.0,0.7867,0.0,enter_inner,obstacle,0.9978,0.0
