method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
DK-ABS,UGV Street Patrol Parking,5000,5000,50.8817,28.6846,0.3538,0.6503,32.6584,15676.032,59.7042,0.8529,1.2313,0.1055,0.646,0.0,0.646,0.0453,0.0,0.0453,0.4265,0.5735,0.4796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5601,9.825,5.5724,0.5547,0.1,0.1097,0.763,0.0433,0.2876,0.0,0.0,0.5601,0.0,0.0,0.0,1.086,0.0,78380160,Chapter 2 Patrol Ablation,dkabs,patrol,42
DK-ABS w/o DK,UGV Street Patrol Parking,5000,5000,38.4621,21.6444,0.2874,0.5172,26.2852,12616.896,61.2396,0.8749,1.0604,0.0909,0.7126,0.0,0.7126,0.0775,0.0,0.0775,0.2928,0.7072,0.3353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5672,7.7156,4.7456,0.5447,0.1,0.0877,0.7436,0.0345,0.2733,0.0,0.0,0.5672,0.0,0.0,0.0,1.0334,0.0,63084480,Chapter 2 Patrol Ablation,dkabs_wo_dk,patrol,42
DK-ABS w/o OS,UGV Street Patrol Parking,5000,5000,42.5508,23.9872,0.2828,0.556,27.444,13173.12,61.251,0.875,1.2017,0.103,0.6492,0.068,0.7172,0.051,0.0037,0.0547,0.3586,0.6414,0.3965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6354,8.3806,5.4738,0.5547,0.1,0.1148,0.7596,0.0486,0.2918,0.0,0.0,0.6354,0.0,0.0,0.0,0.9792,0.0,65865600,Chapter 2 Patrol Ablation,dkabs_wo_os,patrol,42
DK-ABS,UGV Street Patrol Parking,5000,5000,51.1547,29.0004,0.368,0.6527,32.522,15610.56,59.2574,0.8465,1.2419,0.1064,0.6316,0.0,0.6316,0.043,0.0,0.043,0.4367,0.5633,0.4901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5704,9.8606,5.6386,0.5546,0.1,0.109,0.7643,0.0427,0.2906,0.0,0.0,0.5704,0.0,0.0,0.0,1.0856,0.0,78052800,Chapter 2 Patrol Ablation,dkabs,patrol,43
DK-ABS w/o DK,UGV Street Patrol Parking,5000,5000,37.8257,21.2811,0.2842,0.5099,26.1914,12571.872,61.3694,0.8767,1.047,0.0897,0.7158,0.0,0.7158,0.0793,0.0,0.0793,0.289,0.711,0.3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5684,7.6818,4.687,0.5449,0.1,0.0883,0.7443,0.0355,0.2749,0.0,0.0,0.5684,0.0,0.0,0.0,1.0317,0.0,62859360,Chapter 2 Patrol Ablation,dkabs_wo_dk,patrol,43
DK-ABS w/o OS,UGV Street Patrol Parking,5000,5000,42.415,23.8919,0.2808,0.5539,27.1442,13029.216,61.2346,0.8748,1.2024,0.1031,0.6504,0.0688,0.7192,0.0548,0.0037,0.0585,0.3585,0.6415,0.3944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6276,8.2758,5.4308,0.5543,0.1,0.1138,0.7582,0.0475,0.29,0.0,0.0,0.6276,0.0,0.0,0.0,0.9662,0.0,65146080,Chapter 2 Patrol Ablation,dkabs_wo_os,patrol,43
DK-ABS,UGV Street Patrol Parking,5000,5000,49.8741,28.1513,0.3488,0.6396,32.1376,15426.048,59.761,0.8537,1.2186,0.1045,0.651,0.0,0.651,0.048,0.0,0.048,0.4209,0.5791,0.4723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5654,9.6626,5.5282,0.554,0.1,0.1073,0.7618,0.0433,0.2867,0.0,0.0,0.5654,0.0,0.0,0.0,1.0735,0.0,77130240,Chapter 2 Patrol Ablation,dkabs,patrol,44
DK-ABS w/o DK,UGV Street Patrol Parking,5000,5000,38.0248,21.3612,0.2818,0.513,26.4526,12697.248,61.4976,0.8785,1.048,0.0898,0.7182,0.0,0.7182,0.0773,0.0,0.0773,0.2869,0.7131,0.3307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5705,7.7058,4.7022,0.5447,0.1,0.0874,0.7471,0.0362,0.2729,0.0,0.0,0.5705,0.0,0.0,0.0,1.033,0.0,63486240,Chapter 2 Patrol Ablation,dkabs_wo_dk,patrol,44
DK-ABS w/o OS,UGV Street Patrol Parking,5000,5000,42.7901,24.0408,0.2782,0.5587,27.5304,13214.592,61.386,0.8769,1.2042,0.1032,0.6586,0.0632,0.7218,0.052,0.0034,0.0553,0.3574,0.6426,0.3943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6452,8.464,5.5806,0.5548,0.1,0.1146,0.7583,0.0472,0.2938,0.0,0.0,0.6452,0.0,0.0,0.0,0.9743,0.0,66072960,Chapter 2 Patrol Ablation,dkabs_wo_os,patrol,44
