episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
15,51.1816,24.9667,1,6.0,1.0,49,23520,49,141.0,1.4847,142.4847,0.7,1.4286,0.1224,1,0,1,0.0204,0.0,0.0204,0,0.7755,0.2245,0.8367,38,41,49,0.2969,0.2969,2.3013,0.1633,0.25,0.5,0.25,0.75,0,0,0.4667,15,7,0.6054,0.1,0.2041,0.6939,0.1224,0.3061,0.0,0.0,0.4667,0.0,0.0,0.0,1.0397,0.0,completed,,0.98,0.0
16,0.2009,0.098,0,2.0,0.3333,16,7680,70,150.0,0.0,150.0,1.0,1.4583,0.125,1,0,1,0.0625,0.0,0.0625,0,0.8125,0.1875,0.875,13,14,16,0.0,0.0,0.0,0.125,0.0,0.5,0.5,1.0,0,0,0.8571,7,6,0.5139,0.1,0.0625,0.6875,0.0,0.4375,0.0,0.0,0.8571,0.0,0.0,0.0,0.6931,0.0,inner_patrol,obstacle,0.98,0.0
17,-7.831,-3.82,0,1.0,0.1667,14,6720,70,150.0,0.0,150.0,1.0,0.8333,0.0714,1,0,1,0.0714,0.0,0.0714,0,0.9286,0.0714,0.9286,13,13,14,0.0,0.0,0.0,0.0714,0.0,0.0,1.0,1.0,0,0,0.75,4,3,0.5402,0.1,0.0714,0.5714,0.0714,0.2857,0.0,0.0,0.75,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,0.0
18,-9.717,-4.74,0,1.0,0.1667,15,7200,70,150.0,0.0,150.0,1.0,0.7778,0.0667,1,0,1,0.0667,0.0,0.0667,0,0.8667,0.1333,0.9333,13,14,15,0.0,0.0,0.0,0.0667,0.0,1.0,0.0,1.0,0,0,0.5,4,2,0.5193,0.1,0.0667,0.6667,0.0,0.2667,0.0,0.0,0.5,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,0.0
19,-7.954,-3.88,0,1.0,0.1667,14,6720,70,150.0,0.0,150.0,1.0,0.8333,0.0714,1,0,1,0.0714,0.0,0.0714,0,0.9286,0.0714,0.9286,13,13,14,0.0,0.0,0.0,0.0714,0.0,1.0,0.0,1.0,0,0,0.7143,7,5,0.531,0.1,0.0714,0.7857,0.0,0.5,0.0,0.0,0.7143,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,0.0
20,19.2061,9.3688,0,5.0,0.8333,43,20640,70,150.0,0.7543,150.7543,1.0,1.3566,0.1163,1,0,1,0.0233,0.0,0.0233,0,0.7674,0.2326,0.8605,33,37,43,0.1509,0.1509,1.1692,0.1395,0.1667,0.6667,0.1667,0.8333,0,0,0.4286,7,3,0.5326,0.1,0.093,0.7907,0.0,0.1628,0.0,0.0,0.4286,0.0,0.0,0.0,0.8676,0.0,final_park,wall,0.98,0.0
21,65.9251,32.1586,1,6.0,1.0,39,18720,39,136.7143,1.4654,138.1797,0.5571,1.7949,0.1538,0,0,0,0.0000,0.0,0.0000,0,0.7692,0.2308,0.8462,30,33,39,0.2931,0.2931,2.2714,0.1538,0.3333,0.3333,0.3333,0.6667,0,0,0.875,8,7,0.5512,0.1,0.0513,0.7949,0.0513,0.2051,0.0,0.0,0.875,0.0,0.0,0.0,1.0986,0.0,completed,,0.98,3.532966
22,-10.0,-5.332,0,1.0,0.1667,16,7680,70,150.0,0.0,150.0,1.0,0.7292,0.0625,0,0,0,0.0000,0.0,0.0000,0,0.75,0.25,0.875,12,14,16,0.0,0.0,0.0,0.125,0.0,0.5,0.5,1.0,0,0,0.6,5,3,0.5278,0.1,0.125,0.9375,0.0,0.3125,0.0,0.0,0.6,0.0,0.0,0.0,0.6931,0.0,enter_inner,obstacle,0.98,4.159715
23,68.9208,33.6199,1,6.0,1.0,37,17760,37,135.8571,1.3807,137.2378,0.5286,1.8919,0.1622,1,0,1,0.0270,0.0,0.0270,0,0.8378,0.1622,0.8649,31,32,37,0.2761,0.2761,2.1401,0.1351,0.4,0.6,0.0,0.6,0,0,1.0,7,7,0.5467,0.1,0.0541,0.7838,0.027,0.1892,0.0,0.0,1.0,0.0,0.0,0.0,0.673,0.0,completed,,0.98,3.547664
24,-10.0,-5.9368,0,1.0,0.1667,16,7680,70,150.0,0.6225,150.6225,1.0,0.7292,0.0625,1,0,1,0.0625,0.0,0.0625,0,0.6875,0.3125,0.875,11,14,16,0.6225,0.6225,0.9648,0.125,0.5,0.0,0.5,0.5,0,0,0.6667,3,2,0.5316,0.1,0.0,0.5625,0.0,0.1875,0.0,0.0,0.6667,0.0,0.0,0.0,0.6931,0.0,enter_inner,obstacle,0.98,3.557029
