ep,time,step,reward,T1_succ,T2_succ,T3_succ,T4_succ,T5_succ,T6_succ,T1_step,T2_step,T3_step,T4_step,T5_step,T6_step,LLM1,LLM2,LLM3,LLM4,LLM5,LLM6,seq
1,42.58,340,53.0,1,1,1,1,0,0,88,92,120,24,16,0,2.01,2.01,2.01,2.00,2.01,0.00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4"
1,10.97,104,7.0,1,0,0,0,0,0,88,16,0,0,0,0,2.41,0.00,0.00,0.00,0.00,0.00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,10.98,104,7.0,1,0,0,0,0,0,88,16,0,0,0,0,2.01,0.00,0.00,0.00,0.00,0.00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,10.97,104,7.0,1,0,0,0,0,0,88,16,0,0,0,0,2.41,0.00,0.00,0.00,0.00,0.00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,10.96,104,7.0,1,0,0,0,0,0,88,16,0,0,0,0,2.41,0.00,0.00,0.00,0.00,0.00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,53.53,436,108.0,1,1,1,1,1,1,92,92,116,28,72,36,2.01,2.01,2.01,2.01,2.01,2.01,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5"
1,51.04,440,88.0,1,1,1,1,1,1,88,84,120,32,80,36,2.01,2.40,2.01,2.01,2.01,2.01,"1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5"
1,50.99,440,88.0,1,1,1,1,1,1,88,84,120,32,80,36,2.01,2.40,2.01,2.02,2.01,2.01,"1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5"
1,15.26,152,12.0,1,0,0,0,0,0,92,60,0,0,0,0,2.28,2.40,0.00,0.00,0.00,0.00,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0"
1,52.11,452,88.0,1,1,1,1,1,1,92,84,120,28,88,40,2.27,2.40,2.01,2.02,2.01,2.00,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5"
1,10.98,104,7.0,1,0,0,0,0,0,88,16,0,0,0,0,2.28,0.00,0.00,0.00,0.00,0.00,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1"
1,14.08,104,7.0,1,0,0,0,0,0,88,16,0,0,0,0,2.01,2.01,0.00,0.00,0.00,0.00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1"
1,54.57,476,88.0,1,1,1,1,1,1,88,92,116,60,80,40,2.00,2.01,2.39,2.39,2.01,2.02,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5"
