suite,method_key,method,scenario,scenario_key,seed_count,avg_behavior_entropy_all_mean,avg_behavior_entropy_all_std,avg_behavior_entropy_all_min,avg_behavior_entropy_all_max,avg_collision_rate_all_mean,avg_collision_rate_all_std,avg_collision_rate_all_min,avg_collision_rate_all_max,avg_collisions_all_mean,avg_collisions_all_std,avg_collisions_all_min,avg_collisions_all_max,avg_compensation_utilization_all_mean,avg_compensation_utilization_all_std,avg_compensation_utilization_all_min,avg_compensation_utilization_all_max,avg_completion_time_steps_all_mean,avg_completion_time_steps_all_std,avg_completion_time_steps_all_min,avg_completion_time_steps_all_max,avg_critical_event_rate_all_mean,avg_critical_event_rate_all_std,avg_critical_event_rate_all_min,avg_critical_event_rate_all_max,avg_critical_events_all_mean,avg_critical_events_all_std,avg_critical_events_all_min,avg_critical_events_all_max,avg_critical_safe_all_mean,avg_critical_safe_all_std,avg_critical_safe_all_min,avg_critical_safe_all_max,avg_equivalent_env_steps_all_mean,avg_equivalent_env_steps_all_std,avg_equivalent_env_steps_all_min,avg_equivalent_env_steps_all_max,avg_follow_ratio_all_mean,avg_follow_ratio_all_std,avg_follow_ratio_all_min,avg_follow_ratio_all_max,avg_hazard_step_ratio_all_mean,avg_hazard_step_ratio_all_std,avg_hazard_step_ratio_all_min,avg_hazard_step_ratio_all_max,avg_high_risk_step_ratio_all_mean,avg_high_risk_step_ratio_all_std,avg_high_risk_step_ratio_all_min,avg_high_risk_step_ratio_all_max,avg_idle_ratio_all_mean,avg_idle_ratio_all_std,avg_idle_ratio_all_min,avg_idle_ratio_all_max,avg_intervention_rate_all_mean,avg_intervention_rate_all_std,avg_intervention_rate_all_min,avg_intervention_rate_all_max,avg_latency_penalty_all_mean,avg_latency_penalty_all_std,avg_latency_penalty_all_min,avg_latency_penalty_all_max,avg_normalized_completion_time_all_mean,avg_normalized_completion_time_all_std,avg_normalized_completion_time_all_min,avg_normalized_completion_time_all_max,avg_observed_risk_all_mean,avg_observed_risk_all_std,avg_observed_risk_all_min,avg_observed_risk_all_max,avg_planner_accuracy_all_mean,avg_planner_accuracy_all_std,avg_planner_accuracy_all_min,avg_planner_accuracy_all_max,avg_planner_legal_ratio_all_mean,avg_planner_legal_ratio_all_std,avg_planner_legal_ratio_all_min,avg_planner_legal_ratio_all_max,avg_planner_miss_ratio_all_mean,avg_planner_miss_ratio_all_std,avg_planner_miss_ratio_all_min,avg_planner_miss_ratio_all_max,avg_progress_per_step_all_mean,avg_progress_per_step_all_std,avg_progress_per_step_all_min,avg_progress_per_step_all_max,avg_red_light_exposure_ratio_all_mean,avg_red_light_exposure_ratio_all_std,avg_red_light_exposure_ratio_all_min,avg_red_light_exposure_ratio_all_max,avg_reward_all_mean,avg_reward_all_std,avg_reward_all_min,avg_reward_all_max,avg_risk_exposure_all_mean,avg_risk_exposure_all_std,avg_risk_exposure_all_min,avg_risk_exposure_all_max,avg_route_efficiency_all_mean,avg_route_efficiency_all_std,avg_route_efficiency_all_min,avg_route_efficiency_all_max,avg_safety_entropy_all_mean,avg_safety_entropy_all_std,avg_safety_entropy_all_min,avg_safety_entropy_all_max,avg_safety_interventions_all_mean,avg_safety_interventions_all_std,avg_safety_interventions_all_min,avg_safety_interventions_all_max,avg_safety_precision_all_mean,avg_safety_precision_all_std,avg_safety_precision_all_min,avg_safety_precision_all_max,avg_safety_recall_all_mean,avg_safety_recall_all_std,avg_safety_recall_all_min,avg_safety_recall_all_max,avg_safety_saved_all_mean,avg_safety_saved_all_std,avg_safety_saved_all_min,avg_safety_saved_all_max,avg_safety_success_rate_all_mean,avg_safety_success_rate_all_std,avg_safety_success_rate_all_min,avg_safety_success_rate_all_max,avg_score_all_mean,avg_score_all_std,avg_score_all_min,avg_score_all_max,avg_select_ratio_all_mean,avg_select_ratio_all_std,avg_select_ratio_all_min,avg_select_ratio_all_max,avg_stage_latency_seconds_all_mean,avg_stage_latency_seconds_all_std,avg_stage_latency_seconds_all_min,avg_stage_latency_seconds_all_max,avg_stage_ratio_all_mean,avg_stage_ratio_all_std,avg_stage_ratio_all_min,avg_stage_ratio_all_max,avg_steer_left_ratio_all_mean,avg_steer_left_ratio_all_std,avg_steer_left_ratio_all_min,avg_steer_left_ratio_all_max,avg_steer_right_ratio_all_mean,avg_steer_right_ratio_all_std,avg_steer_right_ratio_all_min,avg_steer_right_ratio_all_max,avg_steps_all_mean,avg_steps_all_std,avg_steps_all_min,avg_steps_all_max,avg_stop_ratio_all_mean,avg_stop_ratio_all_std,avg_stop_ratio_all_min,avg_stop_ratio_all_max,avg_success_all_mean,avg_success_all_std,avg_success_all_min,avg_success_all_max,avg_target_hits_all_mean,avg_target_hits_all_std,avg_target_hits_all_min,avg_target_hits_all_max,avg_unsafe_event_rate_all_mean,avg_unsafe_event_rate_all_std,avg_unsafe_event_rate_all_min,avg_unsafe_event_rate_all_max,avg_unsafe_rate_all_mean,avg_unsafe_rate_all_std,avg_unsafe_rate_all_min,avg_unsafe_rate_all_max,avg_violation_rate_all_mean,avg_violation_rate_all_std,avg_violation_rate_all_min,avg_violation_rate_all_max,avg_violations_all_mean,avg_violations_all_std,avg_violations_all_min,avg_violations_all_max,avg_wait_ratio_all_mean,avg_wait_ratio_all_std,avg_wait_ratio_all_min,avg_wait_ratio_all_max,avg_wait_time_all_mean,avg_wait_time_all_std,avg_wait_time_all_min,avg_wait_time_all_max,episodes_mean,episodes_std,episodes_min,episodes_max,summary_window_mean,summary_window_std,summary_window_min,summary_window_max,total_equivalent_env_steps_mean,total_equivalent_env_steps_std,total_equivalent_env_steps_min,total_equivalent_env_steps_max,avg_completion_time_seconds_all_max,avg_completion_time_seconds_all_mean,avg_completion_time_seconds_all_min,avg_completion_time_seconds_all_std,avg_latency_time_seconds_all_max,avg_latency_time_seconds_all_mean,avg_latency_time_seconds_all_min,avg_latency_time_seconds_all_std,avg_nominal_completion_time_seconds_all_max,avg_nominal_completion_time_seconds_all_mean,avg_nominal_completion_time_seconds_all_min,avg_nominal_completion_time_seconds_all_std
Chapter 4 Patrol Comparison,efsr,EFSR,UGV Street Patrol Parking,patrol,3,0.656,0.0032,0.6525,0.6586,0.0317,0.0014,0.0305,0.0332,0.412,0.0104,0.4052,0.424,0.9647,0.0004,0.9643,0.965,53.3227,0.1994,53.128,53.5264,0.2764,0.0019,0.275,0.2785,7.8388,0.0258,7.8092,7.8562,3.6657,0.0182,3.6454,3.6806,13632.096,116.1887,13556.928,13765.92,0.6819,0.0024,0.6793,0.6839,0.7587,0.0009,0.758,0.7598,0.0931,0.0003,0.0929,0.0934,0.1378,0.0012,0.1364,0.1387,0.4687,0.0095,0.4578,0.4748,3.4519,0.0389,3.42,3.4952,0.7618,0.0029,0.759,0.7647,0.1,0.0,0.1,0.1,0.7,0.0012,0.699,0.7014,0.8417,0.0016,0.8405,0.8435,0.3,0.0012,0.2986,0.301,0.1183,0.0011,0.1173,0.1194,0.0356,0.0004,0.0353,0.036,27.0549,0.0674,26.9859,27.1205,0.5492,0.0005,0.5486,0.5496,1.3801,0.0122,1.3685,1.3928,0.5755,0.0003,0.5753,0.5758,6.4703,0.0166,6.4528,6.4858,0.4605,0.001,0.4594,0.4613,0.4476,0.0005,0.4471,0.448,3.2217,0.0134,3.2066,3.2322,0.4605,0.001,0.4594,0.4613,55.4626,0.1381,55.3211,55.5971,0.2827,0.0021,0.2808,0.285,1.2333,0.0127,1.2193,1.2442,0.7886,0.0014,0.7877,0.7902,0.0571,0.0002,0.0569,0.0573,0.0572,0.0001,0.0571,0.0573,28.4002,0.2421,28.2436,28.679,0.3359,0.0003,0.3357,0.3362,0.5033,0.0032,0.5012,0.507,0.0,0.0,0.0,0.0,0.0345,0.0017,0.033,0.0363,0.4464,0.0106,0.439,0.4586,0.0028,0.0003,0.0025,0.0031,0.0344,0.0005,0.0338,0.0348,0.0353,0.0004,0.035,0.0357,0.2279,0.0034,0.225,0.2317,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,68160480.0,580943.3873,67784640.0,68829600.0,,,,,,,,,,,,
Chapter 4 Patrol Comparison,lacm,LACM,UGV Street Patrol Parking,patrol,3,0.5478,0.0129,0.5348,0.5605,0.0266,0.0012,0.0256,0.0279,0.5459,0.0002,0.5458,0.5462,0.7658,0.0095,0.755,0.7724,56.6337,0.3205,56.2736,56.8876,0.2819,0.0006,0.2815,0.2826,8.8213,0.0448,8.7776,8.8672,6.0927,0.1327,5.9898,6.2424,14615.36,74.4558,14539.296,14688.096,0.2303,0.0032,0.2276,0.2339,0.7607,0.0001,0.7607,0.7608,0.0991,0.0002,0.099,0.0994,0.1401,0.0008,0.1394,0.141,0.0,0.0,0.0,0.0,1.134,0.0699,1.0871,1.2143,0.8091,0.0046,0.8039,0.8127,0.1,0.0,0.1,0.1,0.8051,0.0005,0.8048,0.8057,0.8596,0.0008,0.8587,0.8603,0.1949,0.0005,0.1943,0.1952,0.1186,0.0007,0.118,0.1194,0.039,0.0003,0.0388,0.0393,25.9623,0.3559,25.6122,26.3238,0.5515,0.0001,0.5514,0.5516,1.3834,0.009,1.3763,1.3935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6665,0.0072,0.6619,0.6748,0.0,0.0,0.0,0.0,0.6665,0.0072,0.6619,0.6748,46.3649,0.651,45.7511,47.0476,0.5355,0.0089,0.5255,0.5425,0.1918,0.0116,0.1845,0.2052,0.6667,0.0068,0.6608,0.6742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4487,0.1551,30.2902,30.6002,0.0,0.0,0.0,0.0,0.4554,0.0095,0.4478,0.466,0.0,0.0,0.0,0.0,0.0266,0.0012,0.0256,0.0279,0.5459,0.0002,0.5458,0.5462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1723,0.0093,0.1659,0.183,0.1918,0.0116,0.1845,0.2052,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,73076800.0,372279.0179,72696480.0,73440480.0,145.0904,145.0032,144.9007,0.0958,0.7834,0.7316,0.7014,0.0451,144.3804,144.2716,144.1173,0.1373
Chapter 4 Patrol Comparison,oracle,Oracle,UGV Street Patrol Parking,patrol,3,1.159,0.0004,1.1588,1.1595,0.004,0.0003,0.0038,0.0043,0.1363,0.0048,0.131,0.1404,0.0,0.0,0.0,0.0,39.5004,0.0944,39.3996,39.5866,0.2929,0.0007,0.2923,0.2936,11.2457,0.0101,11.2366,11.2566,7.3681,0.0157,7.3528,7.3842,18190.112,1.7501,18188.544,18192.0,0.0,0.0,0.0,0.0,0.7762,0.0004,0.7758,0.7765,0.1137,0.0002,0.1135,0.1138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5643,0.0013,0.5629,0.5655,0.1,0.0,0.1,0.1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.154,0.0002,0.1538,0.1542,0.042,0.0003,0.0418,0.0423,39.4833,0.0051,39.4774,39.4867,0.5606,0.0001,0.5605,0.5606,1.7974,0.0024,1.7947,1.7994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6704,0.0029,0.6671,0.6725,0.0,0.0,0.0,0.0,0.6704,0.0029,0.6671,0.6725,80.9407,0.0105,80.9287,80.9478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9504,0.0003,0.95,0.9506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8961,0.0036,37.8928,37.9,0.0,0.0,0.0,0.0,0.8219,0.0057,0.8178,0.8284,0.0,0.0,0.0,0.0,0.0043,0.0002,0.0041,0.0045,0.1473,0.0027,0.1444,0.1498,0.0004,0.0002,0.0002,0.0006,0.0109,0.0022,0.0094,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,90950560.0,8750.4057,90942720.0,90960000.0,,,,,,,,,,,,
