episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls
172,46.429828,428,108.0,1,1,1,1,1,1,88,72,120,28,84,36,0.929649,0.925797,0.924033,0.920302,0.928238,0.928591,"0,1,2,3,4,5"
173,48.770257,452,98.0,1,1,1,1,1,1,84,96,112,32,88,40,0.914218,0.917371,0.926904,0.918786,0.92919,0.922723,"0,1,2,3,4,5"
174,45.60991,420,107.998,1,1,1,1,1,1,84,80,124,28,68,36,0.933441,0.92375,0.926338,0.928132,0.924123,0.922445,"0,1,2,3,4,5"
175,48.093405,444,107.969,1,1,1,1,1,1,100,72,120,28,88,36,0.927383,0.925025,0.915475,0.921319,0.920099,0.931599,"0,1,2,3,4,5"
176,48.3013,448,98.0,1,1,1,1,1,1,92,92,108,32,84,40,0.925989,0.921892,0.924503,0.923477,0.920075,0.921422,"0,1,2,3,4,5"
177,50.113424,464,97.97,1,1,1,1,1,1,96,92,132,24,84,36,0.921398,0.929906,0.930313,0.927284,0.923945,0.92109,"0,1,2,3,4,5"
178,46.000787,424,107.994,1,1,1,1,1,1,88,72,112,28,84,40,0.934993,0.929839,0.918886,0.917164,0.921482,0.921118,"0,1,2,3,4,5"
179,48.485163,448,107.98,1,1,1,1,1,1,92,88,116,28,84,40,0.93089,0.926005,0.921093,0.915982,0.932512,0.917516,"0,1,2,3,4,5"
180,46.587368,428,97.942,1,1,1,1,1,1,92,72,112,28,84,40,0.930158,0.920528,0.919762,0.923525,0.926751,0.923168,"0,1,2,3,4,5"
181,49.517995,460,108.989,1,1,1,1,1,1,92,80,120,28,100,40,0.935018,0.925584,0.923195,0.918875,0.926803,0.932597,"0,1,2,3,4,5"
182,49.243045,456,108.0,1,1,1,1,1,1,88,72,144,28,84,40,0.925769,0.924071,0.931053,0.936355,0.91821,0.934973,"0,1,2,3,4,5"
183,48.500973,448,107.977,1,1,1,1,1,1,92,96,116,24,84,36,0.919906,0.932892,0.919442,0.927203,0.917702,0.923018,"0,1,2,3,4,5"
184,49.676149,460,107.975,1,1,1,1,1,1,88,88,120,28,100,36,0.926369,0.910502,0.919239,0.922506,0.916987,0.931404,"0,1,2,3,4,5"
185,48.299832,448,107.93,1,1,1,1,1,1,92,84,120,24,72,56,0.928105,0.926051,0.921245,0.922712,0.926322,0.931513,"0,1,2,3,4,5"
186,48.188962,444,107.973,1,1,1,1,1,1,96,84,116,28,84,36,0.933221,0.922551,0.917922,0.918839,0.922207,0.920412,"0,1,2,3,4,5"
187,47.778708,440,97.99,1,1,1,1,1,1,84,72,136,24,92,32,0.927224,0.921514,0.920408,0.92274,0.926745,0.914706,"0,1,2,3,4,5"
188,52.203453,484,107.999,1,1,1,1,1,1,92,108,140,28,84,32,0.93276,0.917598,0.922378,0.925496,0.925171,0.928043,"0,1,2,3,4,5"
189,47.290339,436,107.943,1,1,1,1,1,1,92,84,112,28,84,36,0.925998,0.925889,0.924207,0.919021,0.91538,0.926854,"0,1,2,3,4,5"
190,48.571519,448,107.954,1,1,1,1,1,1,88,92,116,24,92,36,0.938986,0.913089,0.919259,0.921345,0.919422,0.918608,"0,1,2,3,4,5"
191,46.188581,424,97.931,1,1,1,1,1,1,92,72,108,24,92,36,0.934488,0.927296,0.914512,0.921168,0.918484,0.9196,"0,1,2,3,4,5"
193,48.37773,448,107.981,1,1,1,1,1,1,92,92,112,32,84,36,0.916723,0.914411,0.923093,0.922117,0.925011,0.926961,"0,1,2,3,4,5"
194,49.299061,456,107.985,1,1,1,1,1,1,92,84,124,32,84,40,0.933916,0.923456,0.927404,0.922849,0.917537,0.917078,"0,1,2,3,4,5"
195,46.383012,428,108.0,1,1,1,1,1,1,84,68,120,28,88,40,0.932712,0.914811,0.927401,0.913507,0.922282,0.920407,"0,1,2,3,4,5"
196,49.781659,460,98.0,1,1,1,1,1,1,92,96,124,28,84,36,0.9223,0.913847,0.922356,0.918823,0.919513,0.93406,"0,1,2,3,4,5"
197,48.995442,452,107.966,1,1,1,1,1,1,92,96,120,28,84,32,0.918974,0.922684,0.914389,0.921939,0.930471,0.9356,"0,1,2,3,4,5"
198,48.996256,452,107.898,1,1,1,1,1,1,100,68,124,36,84,40,0.930278,0.917669,0.92699,0.918275,0.921834,0.919936,"0,1,2,3,4,5"
199,48.502996,448,108.0,1,1,1,1,1,1,88,92,112,32,84,40,0.940042,0.922122,0.914403,0.916624,0.92364,0.940938,"0,1,2,3,4,5"
200,52.498332,488,109.0,1,1,1,1,1,1,96,96,124,28,104,40,0.921965,0.927371,0.91883,0.921999,0.925961,0.921644,"0,1,2,3,4,5"
201,49.797708,464,97.963,1,1,1,1,1,1,92,100,120,24,88,40,0.932908,0.919194,0.924715,0.920881,0.92454,0.919839,"0,1,2,3,4,5"
202,45.964415,424,87.987,1,1,1,1,1,1,96,88,120,28,84,8,0.92722,0.924935,0.921226,0.915444,0.91725,0.918085,"0,1,2,3,4,5"
203,49.005023,452,97.978,1,1,1,1,1,1,92,72,140,28,84,36,0.912993,0.933331,0.92686,0.923973,0.926498,0.921952,"0,1,2,3,4,5"
204,48.386408,448,107.966,1,1,1,1,1,1,100,84,116,24,84,40,0.923554,0.92671,0.920318,0.915691,0.916327,0.912336,"0,1,2,3,4,5"
205,46.477259,428,107.963,1,1,1,1,1,1,96,68,116,28,84,36,0.920624,0.918355,0.924918,0.920316,0.921843,0.924794,"0,1,2,3,4,5"
206,48.890803,452,97.979,1,1,1,1,1,1,88,92,124,28,84,36,0.924072,0.917058,0.91997,0.938896,0.91784,0.920909,"0,1,2,3,4,5"
207,49.585252,460,108.0,1,1,1,1,1,1,92,68,120,28,112,40,0.932167,0.918935,0.920896,0.922932,0.910484,0.930126,"0,1,2,3,4,5"
208,50.072645,464,107.949,1,1,1,1,1,1,92,88,128,28,84,44,0.924844,0.926222,0.917949,0.923719,0.915146,0.919305,"0,1,2,3,4,5"
209,45.391786,416,108.0,1,1,1,1,1,1,96,68,120,28,68,36,0.933011,0.922493,0.924672,0.917181,0.914144,0.933487,"0,1,2,3,4,5"
210,46.122203,424,97.962,1,1,1,1,1,1,92,72,112,28,84,36,0.939276,0.923593,0.925538,0.918011,0.917882,0.940874,"0,1,2,3,4,5"
211,45.994684,424,97.99,1,1,1,1,1,1,88,72,108,28,88,40,0.923323,0.923726,0.927408,0.924224,0.927281,0.926832,"0,1,2,3,4,5"
212,46.601568,428,97.963,1,1,1,1,1,1,92,72,120,32,80,32,0.928069,0.919875,0.914211,0.928381,0.91858,0.928186,"0,1,2,3,4,5"
213,46.503688,428,97.948,1,1,1,1,1,1,92,68,120,28,84,36,0.920514,0.937494,0.927295,0.919766,0.921971,0.921504,"0,1,2,3,4,5"
214,46.093402,424,107.98,1,1,1,1,1,1,88,68,116,28,88,36,0.91954,0.917996,0.923525,0.925913,0.931451,0.929712,"0,1,2,3,4,5"
215,51.594386,480,107.998,1,1,1,1,1,1,96,72,120,24,128,40,0.922561,0.925306,0.921956,0.920736,0.924866,0.926288,"0,1,2,3,4,5"
216,52.575109,488,107.951,1,1,1,1,1,1,88,120,132,28,84,36,0.923655,0.921882,0.918823,0.918538,0.918889,0.917486,"0,1,2,3,4,5"
217,47.301671,436,87.905,1,1,1,1,1,1,100,68,124,28,80,36,0.919249,0.917712,0.934685,0.921051,0.924645,0.932996,"0,1,2,3,4,5"
219,45.770215,420,108.0,1,1,1,1,1,1,84,68,120,28,88,32,0.909884,0.921778,0.938136,0.930318,0.913933,0.924202,"0,1,2,3,4,5"
220,45.780621,420,98.0,1,1,1,1,1,1,88,68,112,28,80,44,0.925848,0.921307,0.916526,0.927023,0.919473,0.922677,"0,1,2,3,4,5"
221,48.689282,452,107.965,1,1,1,1,1,1,92,84,116,28,88,44,0.919528,0.923291,0.927089,0.918154,0.921449,0.932156,"0,1,2,3,4,5"
222,47.81214,440,107.931,1,1,1,1,1,1,92,84,116,24,92,32,0.944786,0.921701,0.920963,0.92369,0.923096,0.920515,"0,1,2,3,4,5"
223,48.102319,444,97.983,1,1,1,1,1,1,92,68,128,32,88,36,0.927133,0.928235,0.912384,0.929178,0.936417,0.925306,"0,1,2,3,4,5"
226,44.644716,412,108.0,1,1,1,1,1,1,92,68,112,28,68,44,0.775578,0.917255,0.914509,0.917611,0.924046,0.918044,"0,1,2,3,4,5"
228,54.356288,416,107.998,1,1,1,1,1,1,88,72,116,28,72,40,10.226281,0.914285,0.919153,0.919171,0.916553,0.921965,"0,1,2,3,4,5"
229,48.126209,444,107.962,1,1,1,1,1,1,92,68,124,28,96,36,0.934144,0.93127,0.925736,0.927203,0.93056,0.934538,"0,1,2,3,4,5"
230,46.115282,424,107.973,1,1,1,1,1,1,92,68,120,24,84,36,0.925026,0.927331,0.929572,0.924108,0.923553,0.923553,"0,1,2,3,4,5"
231,45.502846,420,87.997,1,1,1,1,1,1,84,72,112,28,84,40,0.92633,0.9231,0.923359,0.929473,0.931354,0.927697,"0,1,2,3,4,5"
232,47.808079,440,107.904,1,1,1,1,1,1,104,68,124,36,72,36,0.922477,0.915229,0.92121,0.92767,0.93394,0.923982,"0,1,2,3,4,5"
233,48.307516,448,108.0,1,1,1,1,1,1,88,88,112,40,84,36,0.922616,0.92428,0.930615,0.936498,0.920918,0.924534,"0,1,2,3,4,5"
234,43.789889,400,97.999,1,1,1,1,1,1,84,68,116,28,72,32,0.922363,0.926066,0.918565,0.924051,0.917972,0.928264,"0,1,2,3,4,5"
235,48.374096,448,107.97,1,1,1,1,1,1,96,88,116,24,84,40,0.920266,0.917867,0.916626,0.921185,0.929617,0.921429,"0,1,2,3,4,5"
236,49.771196,460,108.0,1,1,1,1,1,1,88,96,136,28,76,36,0.921016,0.932608,0.9236,0.915283,0.919707,0.928244,"0,1,2,3,4,5"
237,42.790013,392,88.0,1,1,1,1,1,1,92,68,112,28,84,8,0.927749,0.921863,0.919499,0.922884,0.915669,0.920864,"0,1,2,3,4,5"
238,48.162433,444,97.996,1,1,1,1,1,1,84,84,128,28,84,36,0.917492,0.923595,0.918293,0.927882,0.921521,0.916807,"0,1,2,3,4,5"
239,46.59401,428,107.878,1,1,1,1,1,1,108,72,108,28,72,40,0.938864,0.916109,0.922984,0.928205,0.913283,0.91952,"0,1,2,3,4,5"
240,47.788294,440,107.95,1,1,1,1,1,1,88,92,112,28,84,36,0.936234,0.913356,0.923869,0.92322,0.919983,0.918182,"0,1,2,3,4,5"
241,47.783867,444,107.939,1,1,1,1,1,1,96,72,124,28,84,40,0.9222,0.929691,0.9161,0.922213,0.9134,0.923069,"0,1,2,3,4,5"
242,47.764547,440,108.0,1,1,1,1,1,1,104,68,120,28,84,36,0.922649,0.92082,0.91752,0.928086,0.921235,0.915006,"0,1,2,3,4,5"
243,45.796921,420,107.958,1,1,1,1,1,1,96,68,120,28,72,36,0.926088,0.919565,0.923541,0.92097,0.917281,0.928944,"0,1,2,3,4,5"
244,46.571468,428,108.0,1,1,1,1,1,1,96,68,112,32,84,36,0.926747,0.919314,0.915139,0.920393,0.925605,0.930605,"0,1,2,3,4,5"
245,48.178238,444,107.942,1,1,1,1,1,1,92,72,116,28,100,36,0.924429,0.930578,0.916671,0.916907,0.919154,0.914292,"0,1,2,3,4,5"
246,48.099584,444,107.966,1,1,1,1,1,1,96,84,128,28,72,36,0.933879,0.914901,0.922001,0.92439,0.926215,0.918278,"0,1,2,3,4,5"
248,48.229245,448,108.0,1,1,1,1,1,1,92,84,120,28,84,40,0.776977,0.926961,0.913912,0.924587,0.922165,0.917231,"0,1,2,3,4,5"
249,48.593975,448,97.973,1,1,1,1,1,1,84,84,132,28,84,36,0.934332,0.919831,0.921304,0.921773,0.922363,0.934028,"0,1,2,3,4,5"
250,44.802247,412,98.0,1,1,1,1,1,1,84,72,116,28,72,40,0.923808,0.920258,0.931127,0.916879,0.922751,0.916746,"0,1,2,3,4,5"
251,47.412425,436,107.903,1,1,1,1,1,1,100,68,124,32,80,32,0.923179,0.933698,0.922043,0.921118,0.934361,0.92442,"0,1,2,3,4,5"
252,53.029877,492,108.0,1,1,1,1,1,1,92,92,140,28,104,36,0.926013,0.93165,0.925904,0.92491,0.939793,0.932868,"0,1,2,3,4,5"
253,47.577475,440,107.961,1,1,1,1,1,1,88,80,116,32,84,40,0.933344,0.916754,0.918223,0.921565,0.922386,0.922741,"0,1,2,3,4,5"
254,49.109862,456,97.975,1,1,1,1,1,1,92,84,132,28,80,40,0.927033,0.923445,0.927829,0.928375,0.922185,0.9181,"0,1,2,3,4,5"
255,46.69155,432,107.974,1,1,1,1,1,1,88,68,116,32,88,40,0.921995,0.921893,0.919134,0.914364,0.938624,0.937599,"0,1,2,3,4,5"
256,49.892486,464,108.0,1,1,1,1,1,1,88,120,112,28,80,36,0.923806,0.921959,0.922134,0.924615,0.915408,0.927239,"0,1,2,3,4,5"
257,50.597309,468,108.0,1,1,1,1,1,1,84,116,120,28,84,36,0.927508,0.916401,0.924515,0.922911,0.929048,0.926946,"0,1,2,3,4,5"
259,57.020199,440,88.0,1,1,1,1,1,1,92,84,116,28,84,36,10.266944,0.921464,0.919789,0.92925,0.927049,0.922575,"0,1,2,3,4,5"
260,48.614466,448,108.0,1,1,1,1,1,1,88,92,120,28,84,36,0.93459,0.930468,0.922821,0.916988,0.924967,0.924113,"0,1,2,3,4,5"
261,47.17261,436,107.907,1,1,1,1,1,1,96,72,112,28,84,44,0.91748,0.914469,0.917054,0.9368,0.916187,0.925612,"0,1,2,3,4,5"
263,45.928746,424,107.933,1,1,1,1,1,1,92,76,112,36,72,36,0.936587,0.939107,0.921556,0.930489,0.920306,0.927649,"0,1,2,3,4,5"
264,51.592101,480,107.942,1,1,1,1,1,1,92,92,148,28,80,40,0.930485,0.921915,0.918687,0.921993,0.930005,0.926049,"0,1,2,3,4,5"
265,50.411701,468,108.0,1,1,1,1,1,1,92,84,124,28,100,40,0.932368,0.926773,0.920197,0.919024,0.920282,0.930586,"0,1,2,3,4,5"
266,45.09142,416,107.998,1,1,1,1,1,1,84,64,120,32,76,40,0.937058,0.917666,0.91359,0.922096,0.925979,0.920422,"0,1,2,3,4,5"
267,47.59202,440,98.0,1,1,1,1,1,1,88,84,112,32,84,40,0.933805,0.923659,0.920962,0.924455,0.915036,0.92324,"0,1,2,3,4,5"
268,47.186517,436,97.955,1,1,1,1,1,1,88,84,112,28,84,40,0.922962,0.914554,0.924703,0.923602,0.918153,0.930297,"0,1,2,3,4,5"
269,48.093566,432,108.0,1,1,1,1,1,1,88,68,116,24,8,36,0.919029,0.925849,0.919955,0.918778,0.918184,0.920063,"0,1,2,3,4,3,4,5"
270,50.174969,464,107.894,1,1,1,1,1,1,104,96,112,32,84,36,0.929248,0.914264,0.919327,0.9258,0.92967,0.930679,"0,1,2,3,4,5"
271,45.696677,420,107.951,1,1,1,1,1,1,88,72,112,24,84,40,0.926331,0.926979,0.919368,0.920592,0.919776,0.924776,"0,1,2,3,4,5"
272,47.370502,436,107.952,1,1,1,1,1,1,96,84,116,24,80,36,0.926879,0.914526,0.913951,0.929827,0.918754,0.922891,"0,1,2,3,4,5"
273,51.185728,476,107.945,1,1,1,1,1,1,88,88,116,28,116,40,0.923001,0.913553,0.91139,0.92768,0.930772,0.932113,"0,1,2,3,4,5"
275,48.879109,452,108.0,1,1,1,1,1,1,92,92,116,32,84,36,0.921434,0.924488,0.935093,0.916779,0.915668,0.920287,"0,1,2,3,4,5"
276,49.787555,460,107.905,1,1,1,1,1,1,108,88,120,28,80,36,0.924788,0.914205,0.923571,0.923808,0.924344,0.919995,"0,1,2,3,4,5"
277,47.149963,436,107.968,1,1,1,1,1,1,92,68,116,28,92,40,0.915187,0.922999,0.919709,0.920157,0.92016,0.91986,"0,1,2,3,4,5"
278,46.977451,432,107.953,1,1,1,1,1,1,104,72,112,28,80,36,0.927466,0.923056,0.918292,0.922439,0.915926,0.922201,"0,1,2,3,4,5"
279,47.281674,436,87.985,1,1,1,1,1,1,88,84,120,24,84,36,0.927759,0.91774,0.920855,0.919259,0.920905,0.925149,"0,1,2,3,4,5"
280,46.693331,432,77.961,1,1,1,1,1,1,96,96,116,28,88,8,0.924122,0.92018,0.927881,0.914838,0.92891,0.921499,"0,1,2,3,4,5"
281,48.762139,452,107.967,1,1,1,1,1,1,88,84,124,36,84,36,0.922648,0.923933,0.924302,0.930171,0.922736,0.920884,"0,1,2,3,4,5"
282,46.489484,428,108.0,1,1,1,1,1,1,88,84,108,36,76,36,0.933699,0.91965,0.918372,0.922804,0.930305,0.920111,"0,1,2,3,4,5"
283,45.780924,420,107.988,1,1,1,1,1,1,80,80,112,28,80,40,0.934825,0.914147,0.918965,0.917656,0.918663,0.916333,"0,1,2,3,4,5"
284,49.159663,456,97.966,1,1,1,1,1,1,88,92,120,28,88,40,0.92668,0.918554,0.911722,0.927298,0.915528,0.921262,"0,1,2,3,4,5"
285,53.898662,504,107.829,1,1,1,1,1,1,116,120,120,28,84,36,0.934021,0.916466,0.919972,0.923538,0.927743,0.918704,"0,1,2,3,4,5"
287,49.754348,460,97.927,1,1,1,1,1,1,92,92,120,28,92,36,0.919953,0.918458,0.921721,0.916464,0.92658,0.913401,"0,1,2,3,4,5"
288,50.416916,468,107.965,1,1,1,1,1,1,108,92,116,24,88,40,0.929111,0.923618,0.91953,0.935001,0.913531,0.927189,"0,1,2,3,4,5"
289,52.871536,492,107.918,1,1,1,1,1,1,96,96,144,32,84,40,0.93109,0.920824,0.929352,0.913667,0.91598,0.924504,"0,1,2,3,4,5"
290,46.901983,432,98.0,1,1,1,1,1,1,88,88,108,28,84,36,0.939007,0.919952,0.923237,0.931679,0.914895,0.931708,"0,1,2,3,4,5"
291,45.25845,416,88.0,1,1,1,1,1,1,84,72,104,32,84,40,0.923651,0.917398,0.919625,0.91632,0.916198,0.919969,"0,1,2,3,4,5"
292,47.687477,440,108.0,1,1,1,1,1,1,84,84,124,28,84,36,0.924216,0.919063,0.925022,0.920939,0.928054,0.913529,"0,1,2,3,4,5"
293,48.953457,452,107.935,1,1,1,1,1,1,100,84,120,24,88,36,0.92376,0.922866,0.920539,0.923189,0.915556,0.918541,"0,1,2,3,4,5"
295,48.068614,448,97.942,1,1,1,1,1,1,96,72,124,32,84,40,0.776371,0.929636,0.917575,0.921471,0.931468,0.915056,"0,1,2,3,4,5"
296,44.794756,412,107.997,1,1,1,1,1,1,84,80,112,32,68,36,0.926282,0.931637,0.919753,0.920618,0.926655,0.922224,"0,1,2,3,4,5"
297,47.585943,440,107.986,1,1,1,1,1,1,92,72,124,28,84,40,0.926171,0.9203,0.919445,0.924342,0.92964,0.920943,"0,1,2,3,4,5"
298,47.701917,440,108.0,1,1,1,1,1,1,84,68,136,28,84,40,0.919735,0.925864,0.923148,0.924809,0.933299,0.921386,"0,1,2,3,4,5"
299,47.370714,436,97.998,1,1,1,1,1,1,88,72,128,28,84,36,0.924297,0.926574,0.913995,0.919834,0.915408,0.914158,"0,1,2,3,4,5"
300,46.571536,428,107.998,1,1,1,1,1,1,84,84,124,28,72,36,0.927713,0.916781,0.921361,0.920634,0.918793,0.919897,"0,1,2,3,4,5"
302,46.9326,436,107.998,1,1,1,1,1,1,84,72,128,28,84,40,0.783653,0.926289,0.917367,0.920362,0.917498,0.92277,"0,1,2,3,4,5"
303,50.061376,464,108.0,1,1,1,1,1,1,88,100,120,28,84,44,0.930851,0.92008,0.915125,0.919333,0.924654,0.919571,"0,1,2,3,4,5"
304,46.20602,424,106.968,1,1,1,1,1,1,88,64,140,28,68,36,0.920981,0.919769,0.919936,0.932419,0.926723,0.924476,"0,1,2,3,4,5"
305,50.162375,464,107.971,1,1,1,1,1,1,96,88,120,28,88,44,0.920074,0.916052,0.915166,0.922605,0.925952,0.915777,"0,1,2,3,4,5"
306,47.317052,436,97.912,1,1,1,1,1,1,100,76,112,28,84,36,0.922761,0.927299,0.915791,0.926384,0.924147,0.939864,"0,1,2,3,4,5"
307,48.891131,452,97.992,1,1,1,1,1,1,84,108,120,28,76,36,0.925543,0.928004,0.921465,0.916539,0.919676,0.925551,"0,1,2,3,4,5"
308,48.071342,444,107.969,1,1,1,1,1,1,88,72,116,28,104,36,0.923605,0.929164,0.912155,0.922158,0.917086,0.920301,"0,1,2,3,4,5"
309,52.882981,492,97.973,1,1,1,1,1,1,124,84,120,28,100,36,0.923112,0.921354,0.912858,0.921471,0.919632,0.923635,"0,1,2,3,4,5"
310,47.181003,436,107.988,1,1,1,1,1,1,84,72,124,32,76,48,0.922978,0.920727,0.919406,0.922468,0.92911,0.91596,"0,1,2,3,4,5"
311,48.898047,452,107.964,1,1,1,1,1,1,92,100,112,32,80,36,0.923891,0.921553,0.932348,0.922124,0.925595,0.917482,"0,1,2,3,4,5"
312,46.196642,424,107.981,1,1,1,1,1,1,96,80,112,32,68,36,0.93506,0.918651,0.921771,0.920271,0.920531,0.924566,"0,1,2,3,4,5"
313,50.97394,472,107.975,1,1,1,1,1,1,96,108,120,28,84,36,0.928444,0.919846,0.929721,0.913641,0.924763,0.921858,"0,1,2,3,4,5"
314,47.395685,436,107.965,1,1,1,1,1,1,84,84,116,32,84,36,0.922053,0.923518,0.925136,0.925486,0.915717,0.920904,"0,1,2,3,4,5"
315,50.110501,464,107.978,1,1,1,1,1,1,92,84,140,28,84,36,0.923124,0.925271,0.925488,0.927384,0.927351,0.925022,"0,1,2,3,4,5"
316,48.899507,452,107.976,1,1,1,1,1,1,96,72,132,28,88,36,0.926927,0.924328,0.927569,0.922058,0.919683,0.922435,"0,1,2,3,4,5"
317,46.585212,428,108.0,1,1,1,1,1,1,84,76,116,28,88,36,0.925413,0.923267,0.920786,0.921808,0.923349,0.912524,"0,1,2,3,4,5"
318,48.669454,452,107.826,1,1,1,1,1,1,112,72,120,28,80,40,0.919492,0.916473,0.917744,0.91236,0.926303,0.929778,"0,1,2,3,4,5"
319,46.392424,428,98.0,1,1,1,1,1,1,84,84,112,24,88,36,0.923794,0.92684,0.925423,0.9276,0.916749,0.916497,"0,1,2,3,4,5"
320,48.18983,444,107.967,1,1,1,1,1,1,84,84,116,40,84,36,0.925812,0.928496,0.918419,0.925881,0.916776,0.923561,"0,1,2,3,4,5"
321,46.782812,432,107.972,1,1,1,1,1,1,100,68,120,24,84,36,0.925797,0.924438,0.9195,0.922106,0.924769,0.914831,"0,1,2,3,4,5"
323,48.314459,448,98.0,1,1,1,1,1,1,92,84,140,28,68,36,0.937098,0.925177,0.919843,0.927777,0.92469,0.924951,"0,1,2,3,4,5"
324,45.456588,420,98.0,1,1,1,1,1,1,92,68,120,28,76,36,0.927884,0.91494,0.91719,0.914418,0.917718,0.918243,"0,1,2,3,4,5"
325,46.580682,428,97.975,1,1,1,1,1,1,92,84,116,28,72,36,0.925445,0.920402,0.921412,0.918412,0.920072,0.927575,"0,1,2,3,4,5"
326,46.883518,432,107.931,1,1,1,1,1,1,96,72,112,28,80,44,0.916456,0.92117,0.919125,0.91949,0.92176,0.930353,"0,1,2,3,4,5"
327,46.693337,432,108.0,1,1,1,1,1,1,88,72,124,28,84,36,0.923268,0.924664,0.922792,0.924562,0.924169,0.924796,"0,1,2,3,4,5"
328,48.569155,448,107.962,1,1,1,1,1,1,92,72,132,28,88,36,0.920246,0.933932,0.920295,0.92051,0.91964,0.915871,"0,1,2,3,4,5"
329,52.419116,488,108.962,1,1,1,1,1,1,88,92,168,28,72,40,0.918114,0.922627,0.925144,0.931553,0.941624,0.93268,"0,1,2,3,4,5"
330,47.788576,440,97.997,1,1,1,1,1,1,84,92,116,28,84,36,0.929625,0.920878,0.920155,0.937274,0.912572,0.915674,"0,1,2,3,4,5"
331,46.792758,432,107.959,1,1,1,1,1,1,92,72,116,28,84,40,0.928382,0.929847,0.920061,0.925988,0.923385,0.919125,"0,1,2,3,4,5"
332,50.788912,472,107.986,1,1,1,1,1,1,84,112,120,32,84,40,0.927488,0.914136,0.928721,0.921034,0.923929,0.917495,"0,1,2,3,4,5"
333,49.677464,460,98.0,1,1,1,1,1,1,88,100,124,28,84,36,0.929291,0.9209,0.918682,0.92392,0.920278,0.924493,"0,1,2,3,4,5"
334,48.579552,448,98.0,1,1,1,1,1,1,104,84,112,28,84,36,0.925099,0.922671,0.91745,0.930008,0.919529,0.923176,"0,1,2,3,4,5"
335,46.701559,432,107.974,1,1,1,1,1,1,96,68,116,24,88,40,0.923094,0.926122,0.925122,0.92361,0.920491,0.921955,"0,1,2,3,4,5"
336,47.772155,440,108.0,1,1,1,1,1,1,88,68,136,28,84,36,0.917847,0.919353,0.919958,0.92913,0.916312,0.919986,"0,1,2,3,4,5"
337,46.103436,424,107.967,1,1,1,1,1,1,92,68,116,28,84,36,0.922819,0.917662,0.918461,0.92734,0.92299,0.927936,"0,1,2,3,4,5"
338,46.360765,428,107.999,1,1,1,1,1,1,84,68,124,28,88,36,0.915631,0.926822,0.921038,0.926118,0.915843,0.915913,"0,1,2,3,4,5"
339,47.304465,436,107.999,1,1,1,1,1,1,92,72,116,32,84,40,0.925125,0.920923,0.937573,0.921493,0.921967,0.918771,"0,1,2,3,4,5"
340,47.676895,440,107.977,1,1,1,1,1,1,84,88,120,28,84,36,0.93133,0.921111,0.918226,0.919596,0.925354,0.919987,"0,1,2,3,4,5"
341,46.373888,428,97.958,1,1,1,1,1,1,92,84,112,28,80,32,0.922943,0.927229,0.927277,0.921056,0.921628,0.915654,"0,1,2,3,4,5"
342,48.800384,452,107.97,1,1,1,1,1,1,96,88,116,28,84,40,0.927337,0.918777,0.925362,0.915869,0.919409,0.937648,"0,1,2,3,4,5"
343,46.41634,428,107.959,1,1,1,1,1,1,88,72,116,24,88,40,0.924201,0.925307,0.936717,0.920253,0.917451,0.931514,"0,1,2,3,4,5"
344,47.586227,440,108.0,1,1,1,1,1,1,88,68,124,28,92,40,0.929095,0.918313,0.922649,0.920897,0.917023,0.92891,"0,1,2,3,4,5"
345,48.159206,444,108.0,1,1,1,1,1,1,92,68,132,28,88,36,0.924662,0.923749,0.916482,0.914857,0.921505,0.926334,"0,1,2,3,4,5"
346,44.781874,412,108.0,1,1,1,1,1,1,88,68,116,32,72,36,0.919876,0.925995,0.922856,0.917696,0.919158,0.921604,"0,1,2,3,4,5"
347,48.399344,448,107.928,1,1,1,1,1,1,96,72,128,32,80,40,0.930151,0.939601,0.920314,0.922912,0.923298,0.918194,"0,1,2,3,4,5"
348,45.292576,416,108.0,1,1,1,1,1,1,84,68,116,28,84,36,0.928564,0.920529,0.924812,0.927564,0.919601,0.929525,"0,1,2,3,4,5"
349,48.025046,444,108.0,1,1,1,1,1,1,84,72,136,28,84,40,0.921619,0.923847,0.921376,0.934245,0.9212,0.933118,"0,1,2,3,4,5"
352,47.099038,436,108.0,1,1,1,1,1,1,84,72,124,24,92,40,0.775754,0.919558,0.92132,0.923208,0.917623,0.927988,"0,1,2,3,4,5"
353,45.386949,416,98.0,1,1,1,1,1,1,92,72,108,28,84,32,0.933705,0.920299,0.924766,0.922745,0.919309,0.923419,"0,1,2,3,4,5"
354,46.078994,424,108.0,1,1,1,1,1,1,92,80,116,28,72,36,0.918184,0.920742,0.918102,0.925075,0.937853,0.913999,"0,1,2,3,4,5"
355,48.487188,448,107.911,1,1,1,1,1,1,100,84,112,28,84,40,0.926717,0.914438,0.927825,0.927798,0.911992,0.915548,"0,1,2,3,4,5"
356,51.48738,480,108.0,1,1,1,1,1,1,108,92,120,32,88,40,0.934938,0.93623,0.916996,0.923964,0.912755,0.920422,"0,1,2,3,4,5"
357,47.804472,440,97.992,1,1,1,1,1,1,92,72,112,32,88,44,0.928993,0.930259,0.927105,0.919491,0.920444,0.923263,"0,1,2,3,4,5"
