episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps
85,47.222835,472,107.893,1,1,1,1,1,1,104,88,140,28,80,32
86,47.920245,480,107.979,1,1,1,1,1,1,96,88,144,32,84,36
87,44.610550,448,107.964,1,1,1,1,1,1,88,84,124,28,84,40
88,43.131168,432,107.964,1,1,1,1,1,1,92,72,120,28,84,36
89,43.421158,436,107.993,1,1,1,1,1,1,84,68,128,32,80,44
90,44.311322,444,98.000,1,1,1,1,1,1,84,80,132,28,84,36
91,41.624614,416,97.975,1,1,1,1,1,1,84,68,116,28,84,36
92,42.817060,428,97.951,1,1,1,1,1,1,84,88,108,28,84,36
93,45.922285,460,107.976,1,1,1,1,1,1,96,80,124,28,84,48
94,43.510721,436,107.922,1,1,1,1,1,1,96,68,120,28,84,40
95,45.519670,456,107.998,1,1,1,1,1,1,92,96,116,24,88,40
96,43.026151,432,107.957,1,1,1,1,1,1,92,68,120,28,84,40
97,44.012601,440,107.951,1,1,1,1,1,1,96,68,120,28,92,36
98,42.927613,432,87.981,1,1,1,1,1,1,96,96,112,28,92,8
99,44.322599,444,98.000,1,1,1,1,1,1,92,88,112,24,88,40
100,44.716602,448,107.968,1,1,1,1,1,1,92,84,112,28,88,44
101,41.318454,416,107.992,1,1,1,1,1,1,88,68,112,28,84,36
102,41.524796,416,107.995,1,1,1,1,1,1,88,76,116,28,68,40
103,44.322820,444,107.922,1,1,1,1,1,1,96,96,116,28,68,40
104,41.915241,420,98.000,1,1,1,1,1,1,88,72,112,28,84,36
105,46.015020,460,107.947,1,1,1,1,1,1,88,96,124,32,84,36
106,45.821829,460,108.000,1,1,1,1,1,1,88,92,128,24,88,40
107,45.125370,452,108.972,1,1,1,1,1,1,84,88,116,28,96,40
108,40.013396,400,98.000,1,1,1,1,1,1,84,72,112,28,68,36
109,44.123688,444,107.982,1,1,1,1,1,1,92,88,116,28,84,36
110,42.128144,424,97.986,1,1,1,1,1,1,92,84,116,28,68,36
111,41.415917,416,87.975,1,1,1,1,1,1,96,68,108,24,80,40
112,44.511313,448,108.000,1,1,1,1,1,1,92,92,112,28,84,40
113,43.534709,436,108.000,1,1,1,1,1,1,84,68,120,44,84,36
114,43.209497,432,107.972,1,1,1,1,1,1,92,72,112,32,84,40
115,42.815685,428,98.000,1,1,1,1,1,1,92,68,128,28,76,36
116,42.026962,420,108.000,1,1,1,1,1,1,88,68,120,28,84,32
117,41.832673,420,107.998,1,1,1,1,1,1,88,68,112,28,84,40
118,33.702734,340,62.971,1,1,1,1,0,0,88,68,120,48,16,0
119,43.124243,432,98.000,1,1,1,1,1,1,92,68,116,28,88,40
120,44.525183,448,107.968,1,1,1,1,1,1,88,112,112,24,72,40
121,45.956761,464,98.000,1,1,1,1,1,1,84,100,128,28,84,40
122,45.130551,452,107.999,1,1,1,1,1,1,92,92,120,28,84,36
