episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps
366,47.620403,476,107.932,1,1,1,1,1,1,96,96,116,48,84,36
367,46.315747,464,107.998,1,1,1,1,1,1,92,88,120,32,92,40
368,10.825235,108,6.994,1,0,0,0,0,0,88,20,0,0,0,0
369,0.125048,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
370,44.517897,448,108.000,1,1,1,1,1,1,88,92,116,28,76,48
371,43.914185,440,107.959,1,1,1,1,1,1,84,72,140,28,80,36
372,46.415577,464,108.000,1,1,1,1,1,1,92,104,116,32,84,36
373,0.120356,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
374,45.626244,456,107.961,1,1,1,1,1,1,96,88,116,32,88,36
375,46.615240,468,108.000,1,1,1,1,1,1,88,112,116,28,84,40
376,46.329040,464,107.965,1,1,1,1,1,1,92,84,132,32,84,40
377,46.611332,468,107.875,1,1,1,1,1,1,104,96,116,28,84,40
378,44.732529,448,108.000,1,1,1,1,1,1,84,96,112,32,88,36
379,42.411642,424,107.998,1,1,1,1,1,1,84,92,116,28,68,36
380,44.514116,448,107.969,1,1,1,1,1,1,96,68,132,28,88,36
381,43.756485,440,107.950,1,1,1,1,1,1,92,84,116,28,84,36
382,42.314258,424,107.955,1,1,1,1,1,1,84,72,116,24,92,36
383,42.826005,428,97.938,1,1,1,1,1,1,92,72,124,28,76,36
384,44.824697,448,98.000,1,1,1,1,1,1,92,92,112,28,84,40
385,41.208234,412,88.000,1,1,1,1,1,1,92,68,112,28,80,32
386,44.427331,444,97.928,1,1,1,1,1,1,88,108,112,28,72,36
387,43.014109,432,107.970,1,1,1,1,1,1,96,84,116,28,72,36
388,45.929967,460,108.000,1,1,1,1,1,1,88,76,136,28,88,44
389,44.011307,440,97.989,1,1,1,1,1,1,92,68,140,28,76,36
390,41.721472,420,107.968,1,1,1,1,1,1,96,68,116,28,72,40
391,46.525015,468,107.992,1,1,1,1,1,1,96,64,140,36,84,48
392,45.114624,452,97.950,1,1,1,1,1,1,88,96,108,32,84,44
393,48.624021,488,107.950,1,1,1,1,1,1,96,92,148,28,88,36
394,43.525620,436,97.973,1,1,1,1,1,1,92,76,120,28,84,36
395,43.510957,436,107.997,1,1,1,1,1,1,84,72,132,28,84,36
396,42.819293,428,97.987,1,1,1,1,1,1,96,72,112,28,84,36
397,45.023380,452,98.000,1,1,1,1,1,1,88,84,136,28,80,36
398,42.820398,428,107.950,1,1,1,1,1,1,88,72,112,32,88,36
399,43.113371,432,107.970,1,1,1,1,1,1,88,76,112,32,84,40
400,46.323782,464,87.967,1,1,1,1,1,1,84,100,120,28,92,40
401,43.569052,440,107.970,1,1,1,1,1,1,96,68,120,32,84,40
402,44.416028,444,97.979,1,1,1,1,1,1,84,96,120,24,84,36
403,42.221101,424,98.000,1,1,1,1,1,1,84,72,116,28,84,40
404,45.414965,456,107.946,1,1,1,1,1,1,92,96,116,28,84,40
405,45.213962,452,107.927,1,1,1,1,1,1,100,80,124,28,88,32
406,43.023697,432,107.993,1,1,1,1,1,1,88,72,120,28,84,40
407,41.627236,416,107.998,1,1,1,1,1,1,84,72,116,36,76,32
408,44.721721,448,107.987,1,1,1,1,1,1,96,84,124,28,80,36
409,41.215983,412,97.996,1,1,1,1,1,1,84,72,116,28,76,36
410,40.814207,408,97.995,1,1,1,1,1,1,92,72,108,28,76,32
411,41.226070,412,97.986,1,1,1,1,1,1,92,68,116,28,76,32
412,44.321891,444,108.000,1,1,1,1,1,1,92,72,116,40,88,36
413,46.414215,464,98.000,1,1,1,1,1,1,96,84,108,28,112,36
414,46.217095,464,107.922,1,1,1,1,1,1,92,96,116,32,88,40
415,42.332568,424,108.940,1,1,1,1,1,1,92,68,116,28,84,36
416,0.108350,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
417,42.216524,424,108.000,1,1,1,1,1,1,88,68,112,32,84,40
418,45.026324,452,97.976,1,1,1,1,1,1,92,96,112,32,68,52
419,43.614254,436,107.966,1,1,1,1,1,1,96,72,112,28,92,36
420,44.032950,440,98.000,1,1,1,1,1,1,88,72,132,28,84,36
421,0.082490,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
422,42.089559,424,108.000,1,1,1,1,1,1,84,72,116,32,84,36
423,43.725403,440,107.967,1,1,1,1,1,1,92,88,116,36,72,36
424,45.713445,460,107.925,1,1,1,1,1,1,104,84,124,28,76,44
425,42.320244,424,98.000,1,1,1,1,1,1,92,72,120,36,68,36
426,43.516003,436,108.997,1,1,1,1,1,1,88,84,112,28,84,40
427,44.720366,448,107.982,1,1,1,1,1,1,92,88,116,32,84,36
428,1.723167,20,-5.080,0,0,0,0,0,0,20,0,0,0,0,0
429,43.918028,440,108.000,1,1,1,1,1,1,84,88,120,28,84,36
430,43.417687,436,87.921,1,1,1,1,1,1,96,72,116,28,84,40
431,45.326956,456,88.000,1,1,1,1,1,1,84,108,104,28,92,40
432,46.723971,468,97.996,1,1,1,1,1,1,88,68,156,32,84,40
433,42.410009,424,97.995,1,1,1,1,1,1,92,72,120,28,80,32
434,1000.024064,10000,11.000,1,0,0,0,0,0,84,9916,0,0,0,0
435,43.617450,436,98.996,1,1,1,1,1,1,88,88,108,28,88,36
436,41.330105,416,107.939,1,1,1,1,1,1,92,72,116,28,72,36
437,43.420135,436,107.997,1,1,1,1,1,1,88,76,116,24,92,40
438,45.221761,452,107.945,1,1,1,1,1,1,92,72,132,32,84,40
439,44.711585,448,107.952,1,1,1,1,1,1,92,88,116,28,84,40
440,46.037455,460,97.990,1,1,1,1,1,1,92,72,148,24,88,36
441,44.943616,452,108.000,1,1,1,1,1,1,96,84,116,48,72,36
442,47.119813,472,107.982,1,1,1,1,1,1,92,100,128,32,84,36
443,48.022057,480,107.892,1,1,1,1,1,1,108,104,116,32,84,36
444,47.623211,476,107.982,1,1,1,1,1,1,96,88,132,28,96,36
445,40.814847,408,107.936,1,1,1,1,1,1,88,72,112,32,68,36
446,0.120798,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
447,0.123265,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
448,44.327941,444,108.935,1,1,1,1,1,1,88,92,112,28,88,36
449,45.819895,460,107.903,1,1,1,1,1,1,100,88,116,32,84,40
450,45.110206,452,107.997,1,1,1,1,1,1,84,72,136,36,84,40
451,46.518314,468,107.965,1,1,1,1,1,1,96,100,120,32,84,36
452,46.418913,464,107.962,1,1,1,1,1,1,96,80,124,24,100,40
453,44.022272,440,107.904,1,1,1,1,1,1,96,68,112,32,96,36
454,47.515605,476,107.998,1,1,1,1,1,1,88,112,112,44,84,36
455,42.718990,428,107.932,1,1,1,1,1,1,96,68,112,28,88,36
456,43.834708,440,87.980,1,1,1,1,1,1,88,72,128,28,84,40
457,42.710587,428,107.960,1,1,1,1,1,1,92,68,116,28,84,40
458,34.131861,344,62.996,1,1,1,1,0,0,84,104,112,28,16,0
459,45.604696,456,107.900,1,1,1,1,1,1,100,100,116,28,80,32
460,43.036167,432,107.997,1,1,1,1,1,1,96,68,120,24,84,40
461,44.458248,448,108.000,1,1,1,1,1,1,84,92,124,24,88,36
462,46.000834,460,108.000,1,1,1,1,1,1,92,108,116,32,68,44
463,44.324053,444,107.929,1,1,1,1,1,1,96,76,116,32,88,36
464,47.115735,472,107.949,1,1,1,1,1,1,96,76,124,28,112,36
465,42.327349,424,98.000,1,1,1,1,1,1,84,72,116,28,84,40
466,45.418265,456,107.965,1,1,1,1,1,1,88,92,124,24,88,40
467,45.733544,460,108.000,1,1,1,1,1,1,88,92,128,28,88,36
468,41.906239,420,97.920,1,1,1,1,1,1,100,72,112,28,72,36
469,45.923718,460,107.970,1,1,1,1,1,1,112,72,124,28,84,40
470,43.129496,432,108.000,1,1,1,1,1,1,84,96,120,28,68,36
471,45.905860,460,107.985,1,1,1,1,1,1,92,96,112,36,84,40
472,46.019919,460,107.991,1,1,1,1,1,1,88,124,116,28,68,36
473,1000.030384,10000,14.515,1,1,1,1,1,1,80,76,112,32,84,9616
474,45.509959,456,108.000,1,1,1,1,1,1,92,92,116,32,84,40
475,44.430215,444,107.965,1,1,1,1,1,1,96,72,112,32,96,36
476,0.110909,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
477,54.528062,548,87.715,1,1,1,1,1,1,84,72,232,28,96,36
478,45.413890,456,98.000,1,1,1,1,1,1,88,112,116,28,76,36
479,44.634102,448,97.977,1,1,1,1,1,1,108,72,116,28,84,40
480,46.008380,460,107.944,1,1,1,1,1,1,92,104,116,28,84,36
481,43.766783,440,97.995,1,1,1,1,1,1,96,88,108,28,84,36
482,43.626825,436,108.000,1,1,1,1,1,1,88,68,120,28,96,36
483,44.014675,440,107.885,1,1,1,1,1,1,108,68,112,28,88,36
484,43.217222,432,97.988,1,1,1,1,1,1,88,88,112,28,80,36
485,41.230922,412,97.951,1,1,1,1,1,1,100,68,112,28,72,32
486,48.821021,488,107.961,1,1,1,1,1,1,92,128,124,32,80,32
487,43.310641,436,97.999,1,1,1,1,1,1,84,68,124,24,88,48
488,45.726561,460,107.917,1,1,1,1,1,1,92,96,116,28,88,40
489,45.012775,452,98.000,1,1,1,1,1,1,84,100,120,28,72,48
490,45.336393,456,108.000,1,1,1,1,1,1,84,104,116,28,84,40
491,46.802192,468,107.990,1,1,1,1,1,1,92,68,144,28,104,32
492,38.127369,384,78.000,1,1,1,1,1,1,84,72,104,32,84,8
493,0.515153,8,-5.020,0,0,0,0,0,0,8,0,0,0,0,0
494,41.927225,420,88.000,1,1,1,1,1,1,84,72,116,28,84,36
495,44.213725,444,107.917,1,1,1,1,1,1,96,84,120,28,76,40
496,47.424184,476,107.902,1,1,1,1,1,1,116,84,124,28,84,40
497,45.426428,456,107.967,1,1,1,1,1,1,100,88,116,28,84,40
498,44.406541,444,97.949,1,1,1,1,1,1,92,72,120,36,88,36
499,42.627736,428,107.999,1,1,1,1,1,1,84,72,120,28,84,40
500,31.423558,316,53.000,1,1,1,1,0,0,88,72,116,24,16,0
