suite,method_key,method,scenario,scenario_key,seed_count,episodes_mean,episodes_std,episodes_min,episodes_max,summary_window_mean,summary_window_std,summary_window_min,summary_window_max,avg_score_all_mean,avg_score_all_std,avg_score_all_min,avg_score_all_max,avg_reward_all_mean,avg_reward_all_std,avg_reward_all_min,avg_reward_all_max,avg_success_all_mean,avg_success_all_std,avg_success_all_min,avg_success_all_max,avg_stage_ratio_all_mean,avg_stage_ratio_all_std,avg_stage_ratio_all_min,avg_stage_ratio_all_max,avg_steps_all_mean,avg_steps_all_std,avg_steps_all_min,avg_steps_all_max,avg_equivalent_env_steps_all_mean,avg_equivalent_env_steps_all_std,avg_equivalent_env_steps_all_min,avg_equivalent_env_steps_all_max,avg_completion_time_steps_all_mean,avg_completion_time_steps_all_std,avg_completion_time_steps_all_min,avg_completion_time_steps_all_max,avg_normalized_completion_time_all_mean,avg_normalized_completion_time_all_std,avg_normalized_completion_time_all_min,avg_normalized_completion_time_all_max,avg_route_efficiency_all_mean,avg_route_efficiency_all_std,avg_route_efficiency_all_min,avg_route_efficiency_all_max,avg_progress_per_step_all_mean,avg_progress_per_step_all_std,avg_progress_per_step_all_min,avg_progress_per_step_all_max,avg_collisions_all_mean,avg_collisions_all_std,avg_collisions_all_min,avg_collisions_all_max,avg_violations_all_mean,avg_violations_all_std,avg_violations_all_min,avg_violations_all_max,avg_unsafe_rate_all_mean,avg_unsafe_rate_all_std,avg_unsafe_rate_all_min,avg_unsafe_rate_all_max,avg_collision_rate_all_mean,avg_collision_rate_all_std,avg_collision_rate_all_min,avg_collision_rate_all_max,avg_violation_rate_all_mean,avg_violation_rate_all_std,avg_violation_rate_all_min,avg_violation_rate_all_max,avg_unsafe_event_rate_all_mean,avg_unsafe_event_rate_all_std,avg_unsafe_event_rate_all_min,avg_unsafe_event_rate_all_max,avg_planner_accuracy_all_mean,avg_planner_accuracy_all_std,avg_planner_accuracy_all_min,avg_planner_accuracy_all_max,avg_planner_miss_ratio_all_mean,avg_planner_miss_ratio_all_std,avg_planner_miss_ratio_all_min,avg_planner_miss_ratio_all_max,avg_planner_legal_ratio_all_mean,avg_planner_legal_ratio_all_std,avg_planner_legal_ratio_all_min,avg_planner_legal_ratio_all_max,avg_target_hits_all_mean,avg_target_hits_all_std,avg_target_hits_all_min,avg_target_hits_all_max,avg_wait_time_all_mean,avg_wait_time_all_std,avg_wait_time_all_min,avg_wait_time_all_max,avg_stage_latency_seconds_all_mean,avg_stage_latency_seconds_all_std,avg_stage_latency_seconds_all_min,avg_stage_latency_seconds_all_max,avg_latency_penalty_all_mean,avg_latency_penalty_all_std,avg_latency_penalty_all_min,avg_latency_penalty_all_max,avg_idle_ratio_all_mean,avg_idle_ratio_all_std,avg_idle_ratio_all_min,avg_idle_ratio_all_max,avg_wait_ratio_all_mean,avg_wait_ratio_all_std,avg_wait_ratio_all_min,avg_wait_ratio_all_max,avg_follow_ratio_all_mean,avg_follow_ratio_all_std,avg_follow_ratio_all_min,avg_follow_ratio_all_max,avg_select_ratio_all_mean,avg_select_ratio_all_std,avg_select_ratio_all_min,avg_select_ratio_all_max,avg_compensation_utilization_all_mean,avg_compensation_utilization_all_std,avg_compensation_utilization_all_min,avg_compensation_utilization_all_max,avg_safety_saved_all_mean,avg_safety_saved_all_std,avg_safety_saved_all_min,avg_safety_saved_all_max,avg_safety_interventions_all_mean,avg_safety_interventions_all_std,avg_safety_interventions_all_min,avg_safety_interventions_all_max,avg_safety_success_rate_all_mean,avg_safety_success_rate_all_std,avg_safety_success_rate_all_min,avg_safety_success_rate_all_max,avg_critical_events_all_mean,avg_critical_events_all_std,avg_critical_events_all_min,avg_critical_events_all_max,avg_critical_safe_all_mean,avg_critical_safe_all_std,avg_critical_safe_all_min,avg_critical_safe_all_max,avg_risk_exposure_all_mean,avg_risk_exposure_all_std,avg_risk_exposure_all_min,avg_risk_exposure_all_max,avg_observed_risk_all_mean,avg_observed_risk_all_std,avg_observed_risk_all_min,avg_observed_risk_all_max,avg_high_risk_step_ratio_all_mean,avg_high_risk_step_ratio_all_std,avg_high_risk_step_ratio_all_min,avg_high_risk_step_ratio_all_max,avg_hazard_step_ratio_all_mean,avg_hazard_step_ratio_all_std,avg_hazard_step_ratio_all_min,avg_hazard_step_ratio_all_max,avg_red_light_exposure_ratio_all_mean,avg_red_light_exposure_ratio_all_std,avg_red_light_exposure_ratio_all_min,avg_red_light_exposure_ratio_all_max,avg_critical_event_rate_all_mean,avg_critical_event_rate_all_std,avg_critical_event_rate_all_min,avg_critical_event_rate_all_max,avg_intervention_rate_all_mean,avg_intervention_rate_all_std,avg_intervention_rate_all_min,avg_intervention_rate_all_max,avg_safety_precision_all_mean,avg_safety_precision_all_std,avg_safety_precision_all_min,avg_safety_precision_all_max,avg_safety_recall_all_mean,avg_safety_recall_all_std,avg_safety_recall_all_min,avg_safety_recall_all_max,avg_stop_ratio_all_mean,avg_stop_ratio_all_std,avg_stop_ratio_all_min,avg_stop_ratio_all_max,avg_steer_left_ratio_all_mean,avg_steer_left_ratio_all_std,avg_steer_left_ratio_all_min,avg_steer_left_ratio_all_max,avg_steer_right_ratio_all_mean,avg_steer_right_ratio_all_std,avg_steer_right_ratio_all_min,avg_steer_right_ratio_all_max,avg_behavior_entropy_all_mean,avg_behavior_entropy_all_std,avg_behavior_entropy_all_min,avg_behavior_entropy_all_max,avg_safety_entropy_all_mean,avg_safety_entropy_all_std,avg_safety_entropy_all_min,avg_safety_entropy_all_max,total_equivalent_env_steps_mean,total_equivalent_env_steps_std,total_equivalent_env_steps_min,total_equivalent_env_steps_max
Chapter 2 Patrol Comparison,dilu,DILU,UGV Street Patrol Parking,patrol,3,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,38.2488,0.6025,37.8645,38.9432,22.1919,0.3917,21.9628,22.6442,0.3393,0.0069,0.3342,0.3472,0.5073,0.0056,0.5034,0.5137,24.9675,0.2301,24.8226,25.2328,11984.416,110.4272,11914.848,12111.744,59.6467,0.1941,59.425,59.786,0.8521,0.0028,0.8489,0.8541,1.0899,0.0036,1.0858,1.0921,0.0934,0.0003,0.0931,0.0936,0.6097,0.0108,0.5972,0.616,0.051,0.0042,0.0474,0.0556,0.6607,0.0069,0.6528,0.6658,0.0792,0.003,0.0762,0.0821,0.0028,0.0003,0.0025,0.003,0.0819,0.0027,0.0792,0.0846,0.3301,0.0064,0.3258,0.3374,0.6699,0.0064,0.6626,0.6742,0.3724,0.0071,0.3678,0.3805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6107,0.0035,0.608,0.6147,7.7119,0.0803,7.6568,7.804,4.9521,0.0114,4.9412,4.964,0.5504,0.0003,0.5502,0.5507,0.1,0.0,0.1,0.1,0.1056,0.0009,0.1046,0.1064,0.7515,0.0007,0.751,0.7523,0.0442,0.0005,0.0436,0.0445,0.2845,0.0003,0.2842,0.2848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6107,0.0035,0.608,0.6147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9346,0.0154,0.9195,0.9503,0.0,0.0,0.0,0.0,59922080.0,552136.1223,59574240.0,60558720.0
Chapter 2 Patrol Comparison,dkabs,DK-ABS,UGV Street Patrol Parking,patrol,3,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,50.6368,0.6745,49.8741,51.1547,28.6121,0.4292,28.1513,29.0004,0.3569,0.01,0.3488,0.368,0.6475,0.007,0.6396,0.6527,32.4393,0.2701,32.1376,32.6584,15570.88,129.6298,15426.048,15676.032,59.5742,0.2758,59.2574,59.761,0.851,0.0039,0.8465,0.8537,1.2306,0.0117,1.2186,1.2419,0.1055,0.001,0.1045,0.1064,0.6429,0.0101,0.6316,0.651,0.0,0.0,0.0,0.0,0.6429,0.0101,0.6316,0.651,0.0454,0.0025,0.043,0.048,0.0,0.0,0.0,0.0,0.0454,0.0025,0.043,0.048,0.428,0.008,0.4209,0.4367,0.572,0.008,0.5633,0.5791,0.4807,0.0089,0.4723,0.4901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5653,0.0052,0.5601,0.5704,9.7827,0.1056,9.6626,9.8606,5.5797,0.0556,5.5282,5.6386,0.5544,0.0004,0.554,0.5547,0.1,0.0,0.1,0.1,0.1087,0.0012,0.1073,0.1097,0.763,0.0013,0.7618,0.7643,0.0431,0.0003,0.0427,0.0433,0.2883,0.002,0.2867,0.2906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5653,0.0052,0.5601,0.5704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817,0.0071,1.0735,1.086,0.0,0.0,0.0,0.0,77854400.0,648148.8422,77130240.0,78380160.0
Chapter 2 Patrol Comparison,hsd3,HSD-3,UGV Street Patrol Parking,patrol,3,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,28.999,1.1264,27.7006,29.7144,16.5923,0.6851,15.8015,17.0069,0.2551,0.0118,0.2416,0.2636,0.4102,0.0113,0.3971,0.4173,21.4353,0.59,20.8532,22.0328,10288.928,283.177,10009.536,10575.744,61.8068,0.2766,61.5306,62.0838,0.8829,0.004,0.879,0.8869,0.9295,0.0152,0.9173,0.9465,0.0797,0.0013,0.0786,0.0811,0.7003,0.0105,0.6926,0.7122,0.0443,0.0041,0.0396,0.047,0.7445,0.0122,0.7356,0.7584,0.1094,0.0049,0.1042,0.1139,0.0024,0.0002,0.0022,0.0025,0.1118,0.005,0.1064,0.1164,0.245,0.0094,0.2342,0.2505,0.755,0.0094,0.7495,0.7658,0.2817,0.0114,0.2686,0.2894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5845,0.001,0.5834,0.5853,6.4603,0.2648,6.2248,6.747,4.2069,0.0813,4.1164,4.274,0.5433,0.0009,0.5426,0.5444,0.1,0.0,0.1,0.1,0.0893,0.0024,0.0877,0.0921,0.7395,0.0027,0.737,0.7423,0.0381,0.0008,0.0374,0.039,0.2747,0.004,0.2722,0.2793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5845,0.001,0.5834,0.5853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8784,0.0186,0.8585,0.8953,0.0,0.0,0.0,0.0,51444640.0,1415884.9852,50047680.0,52878720.0
Chapter 2 Patrol Comparison,saycan,SayCan,UGV Street Patrol Parking,patrol,3,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,32.2508,0.085,32.192,32.3483,18.5528,0.0685,18.4884,18.6247,0.2863,0.0022,0.2848,0.2888,0.4461,0.001,0.4453,0.4472,22.6177,0.0842,22.5216,22.6782,10856.512,40.4027,10810.368,10885.536,60.9327,0.0567,60.8828,60.9944,0.8705,0.0008,0.8698,0.8713,0.9899,0.005,0.9865,0.9957,0.0849,0.0004,0.0846,0.0853,0.6585,0.0064,0.6532,0.6656,0.0552,0.0048,0.0496,0.058,0.7137,0.0022,0.7112,0.7152,0.0964,0.0029,0.0931,0.0983,0.003,0.0003,0.0027,0.0032,0.0995,0.0028,0.0963,0.1015,0.2639,0.001,0.2631,0.2651,0.7361,0.001,0.7349,0.7369,0.3061,0.0009,0.3054,0.3071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6018,0.0104,0.5912,0.6119,6.7581,0.0913,6.654,6.8246,4.5439,0.0328,4.5168,4.5804,0.5438,0.0006,0.5431,0.5443,0.1,0.0,0.1,0.1,0.0887,0.0021,0.0864,0.0906,0.7405,0.0008,0.74,0.7415,0.0374,0.0009,0.0369,0.0384,0.2744,0.0023,0.2719,0.2765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6018,0.0104,0.5912,0.6119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9277,0.0047,0.9247,0.9332,0.0,0.0,0.0,0.0,54282560.0,202013.4807,54051840.0,54427680.0
