metric,value
method,DK-ABS
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,69.8855
avg_reward_all,123.434
avg_success_all,0.6615
avg_stage_ratio_all,0.7684
avg_steps_all,13.1105
avg_equivalent_env_steps_all,4195.36
avg_completion_time_steps_all,37.4588
avg_normalized_completion_time_all,0.4682
avg_route_efficiency_all,4.417
avg_progress_per_step_all,0.3313
avg_collisions_all,0.3385
avg_violations_all,0.0
avg_unsafe_rate_all,0.3385
avg_collision_rate_all,0.0638
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0638
avg_planner_accuracy_all,0.5247
avg_planner_miss_ratio_all,0.4753
avg_planner_legal_ratio_all,0.6767
avg_target_hits_all,1.8525
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5196
avg_critical_events_all,4.5423
avg_critical_safe_all,2.333
avg_risk_exposure_all,0.4812
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2721
avg_hazard_step_ratio_all,0.4485
avg_red_light_exposure_ratio_all,0.0524
avg_critical_event_rate_all,0.3247
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5196
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.5645
avg_safety_entropy_all,0.0
total_equivalent_env_steps,16781440
