method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
EFSR,UGV Street Patrol Parking,5000,5000,55.4697,27.0584,0.507,0.7902,28.278,13573.44,53.5264,0.7647,1.3791,0.1182,0.4052,0.0338,0.439,0.0314,0.0029,0.0343,0.699,0.301,0.8412,0.0,0.2317,1.2365,3.4404,0.1382,0.0357,0.6793,0.285,0.9643,3.2264,6.4722,0.4613,7.851,3.671,0.5494,0.1,0.0934,0.7584,0.036,0.2785,0.4735,0.4613,0.4476,0.3359,0.0573,0.0573,0.6586,0.5758,67867200,Chapter 4 Patrol Ablation,efsr,patrol,43
EFSR w/o EF,UGV Street Patrol Parking,5000,5000,45.3696,22.1315,0.449,0.7475,23.4092,11236.416,59.838,0.8548,1.1499,0.0986,0.5234,0.0444,0.5678,0.0512,0.0046,0.0558,0.7089,0.2911,0.8657,0.0,0.2436,1.1,2.6895,0.1196,0.034,0.6976,0.2684,0.966,1.8094,6.9364,0.2512,8.4194,2.0288,0.5428,0.1,0.0828,0.7433,0.0322,0.2701,0.6294,0.2512,0.236,0.3162,0.0518,0.0517,0.6216,0.536,56182080,Chapter 4 Patrol Ablation,efsr_wo_ef,patrol,43
EFSR w/o RV,UGV Street Patrol Parking,5000,5000,42.1811,20.5761,0.4238,0.7225,21.246,10198.08,62.1948,0.8885,1.0154,0.087,0.521,0.0436,0.5646,0.0616,0.0045,0.0661,0.7315,0.2685,0.8805,0.0,0.2102,0.9979,2.3321,0.1069,0.0292,0.7267,0.2441,0.9708,2.2718,7.5236,0.2869,8.9438,2.5228,0.5386,0.1,0.0749,0.7364,0.0301,0.2627,0.834,0.2869,0.2734,0.3202,0.0526,0.0527,0.5736,0.5456,50990400,Chapter 4 Patrol Ablation,efsr_wo_rv,patrol,43
