episode,runtime_sec,steps,reward,failure_reason,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls,third_reward10_count,third_reward10_three,collision_flag
1,47.309907,472,97.977,,1,1,1,1,1,1,100,92,116,32,88,44,1.026181,0.915306,0.960527,0.951182,1.043667,1.032531,"0,1,2,3,4,5",2,0,0
2,11.618523,116,7.978,collision,1,0,0,0,0,0,104,12,0,0,0,0,1.071706,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
3,12.719267,128,6.933,collision,1,0,0,0,0,0,124,4,0,0,0,0,0.986970,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
4,10.916750,112,6.915,collision,1,0,0,0,0,0,108,4,0,0,0,0,0.950349,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
5,10.129411,104,7.000,collision,1,0,0,0,0,0,100,4,0,0,0,0,0.915728,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
6,42.904755,432,98.000,,1,1,1,1,1,1,92,72,100,56,64,48,1.028046,1.009154,0.950690,1.016971,1.056812,0.912122,"0,1,2,3,4,5",2,0,0
7,41.837097,420,98.000,,1,1,1,1,1,1,96,72,108,32,64,48,1.056164,1.036753,0.972260,0.938982,1.083465,0.971600,"0,1,2,3,4,5",2,0,0
8,10.502045,108,6.951,collision,1,0,0,0,0,0,104,4,0,0,0,0,0.927670,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
9,44.839046,448,98.000,,1,1,1,1,1,1,120,68,116,32,76,36,1.063669,1.019740,1.055380,1.042485,1.007602,1.086139,"0,1,2,3,4,5",2,0,0
10,11.045949,112,7.000,collision,1,0,0,0,0,0,104,8,0,0,0,0,0.979209,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
11,47.709163,480,98.000,,1,1,1,1,1,1,100,112,104,36,80,48,1.060402,1.022424,1.066243,1.015026,1.037920,0.919232,"0,1,2,3,4,5",2,0,0
12,51.989155,520,98.000,,1,1,1,1,1,1,96,112,152,36,80,44,0.952026,0.963125,0.924843,0.952047,0.929153,0.961046,"0,1,2,3,4,5",2,0,0
13,10.222233,104,6.973,collision,1,0,0,0,0,0,96,8,0,0,0,0,1.025510,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
14,10.415737,104,7.000,collision,1,0,0,0,0,0,100,4,0,0,0,0,0.977647,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
15,45.922686,460,88.000,,1,1,1,1,1,1,96,104,108,32,80,40,0.959080,1.079752,1.027725,1.020731,0.941791,1.042380,"0,1,2,3,4,5",1,0,0
16,10.720976,108,6.951,collision,1,0,0,0,0,0,104,4,0,0,0,0,0.940420,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
17,47.315493,476,87.997,,1,1,1,1,1,1,96,100,120,32,80,48,1.089235,1.026297,1.011323,1.034335,1.062819,1.050778,"0,1,2,3,4,5",1,0,0
18,11.928327,120,6.984,collision,1,0,0,0,0,0,116,4,0,0,0,0,0.949020,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
19,44.801468,448,97.990,,1,1,1,1,1,1,104,68,132,32,68,44,1.068857,0.967660,1.029081,0.982291,1.075773,0.993646,"0,1,2,3,4,5",2,0,0
20,47.420915,476,97.959,,1,1,1,1,1,1,104,84,124,36,80,48,0.958678,0.955427,1.012104,0.958308,1.016307,1.072737,"0,1,2,3,4,5",2,0,0
21,48.435111,484,88.000,,1,1,1,1,1,1,104,100,128,32,80,40,0.982337,0.950487,1.090729,1.002769,0.927415,0.918601,"0,1,2,3,4,5",1,0,0
