method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_nominal_completion_time_seconds_all,avg_latency_time_seconds_all,avg_completion_time_seconds_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
LACM,UGV Complex Road Passage,4000,4000,71.2262,124.8305,0.6575,0.7779,12.8375,4108.0,37.4635,104.0488,0.8211,104.8699,0.4683,4.5721,0.3429,0.48,0.0,0.48,0.0538,0.0,0.0538,0.5178,0.4822,0.5509,2.25,0.2268,0.2268,1.3138,0.4563,0.1885,0.5759,0.1954,0.7713,0.0,0.0,0.6181,4.6807,2.859,0.4929,0.1,0.2837,0.4682,0.0573,0.34,0.0,0.0,0.6181,0.0,0.0,0.0,0.5794,0.0,16432000,Chapter 4 Road Comparison,lacm,road,44
Oracle,UGV Complex Road Passage,4000,4000,90.4048,90.4048,0.914,0.9543,13.4938,4318.0,19.0845,,,,0.2386,5.7158,0.4432,0.0563,0.0112,0.0675,0.0042,0.0008,0.005,1.0,0.0,1.0,5.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,0.5019,0.1,0.2709,0.4951,0.0676,0.005,0.0,0.0,0.0,0.0,0.0,0.0,1.7493,0.0,17272000,Chapter 4 Road Comparison,oracle,road,44
EFSR,UGV Complex Road Passage,4000,4000,70.7761,123.296,0.653,0.7712,11.9923,3837.52,37.135,,,,0.4642,4.8145,0.3611,0.347,0.0,0.347,0.071,0.0,0.071,0.5225,0.4775,0.5466,2.2837,0.2604,1.4372,3.8502,0.4594,0.0953,0.3685,0.5362,0.9047,2.7992,5.9328,0.4472,4.2763,2.1862,0.4819,0.1,0.2755,0.4531,0.0567,0.3306,0.3737,0.4472,0.449,0.1804,0.0942,0.0992,0.7801,0.8649,15350080,Chapter 4 Road Comparison,efsr,road,44
