episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,-10.0,-9.7,0,0.0,0.0,4,1920,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.25,0.0,0.25,0,0.25,0.75,0.75,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.4724,0.1,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397,0.0,outer_patrol_a,road_edge,1.0,0.0
4,13.0585,6.37,0,2.0,0.3333,22,10560,70,150.0,0.0,150.0,1.0,1.0606,0.0909,1,0,1,0.0455,0.0,0.0455,0,0.5,0.5,0.7273,11,16,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3333,6,2,0.5556,0.1,0.0909,0.7727,0.0455,0.2727,0.0,0.0,0.3333,0.0,0.0,0.0,1.4174,0.0,inner_patrol,obstacle,1.0,0.0
5,2.296,1.12,0,0.0,0.0,13,6240,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.0769,0.0,0.0769,0,0.5385,0.4615,0.6923,7,9,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4,4,0.5216,0.1,0.0,0.5385,0.0,0.3077,0.0,0.0,1.0,0.0,0.0,0.0,0.8587,0.0,outer_patrol_a,road_edge,0.9999,0.0
6,-6.437,-3.14,0,0.0,0.0,8,3840,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.125,0.0,0.125,0,0.375,0.625,0.375,3,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,1,0.4886,0.1,0.0,1.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.6616,0.0,outer_patrol_a,road_edge,0.9999,0.0
7,-10.0,-6.24,0,0.0,0.0,9,4320,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.1111,0.0,0.1111,0,0.2222,0.7778,0.5556,2,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,1,0.4881,0.1,0.0,0.7778,0.0,0.1111,0.0,0.0,1.0,0.0,0.0,0.0,1.0609,0.0,outer_patrol_a,road_edge,0.9999,0.0
8,26.486,12.92,0,3.0,0.5,28,13440,70,150.0,0.0,150.0,1.0,1.25,0.1071,1,0,1,0.0357,0.0,0.0357,0,0.5357,0.4643,0.8214,15,23,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5714,7,4,0.545,0.1,0.0714,0.75,0.0,0.25,0.0,0.0,0.5714,0.0,0.0,0.0,1.3362,0.0,return_outer,obstacle,0.9998,0.0
9,-6.232,-3.04,0,0.0,0.0,17,8160,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.0588,0.0,0.0588,0,0.4706,0.5294,0.7647,8,13,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,4,2,0.5261,0.1,0.0,0.5294,0.0,0.2353,0.0,0.0,0.5,0.0,0.0,0.0,1.0734,0.0,outer_patrol_a,road_edge,0.9998,0.0
10,-10.0,-6.96,0,0.0,0.0,4,1920,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.25,0.0,0.25,0,0.5,0.5,0.5,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5315,0.1,0.0,1.0,0.0,0.75,0.0,0.0,0.6667,0.0,0.0,0.0,0.6931,0.0,outer_patrol_a,road_edge,0.9997,0.0
11,1.64,0.8,0,1.0,0.1667,17,8160,70,150.0,0.0,150.0,1.0,0.6863,0.0588,1,0,1,0.0588,0.0,0.0588,0,0.4118,0.5882,0.6471,7,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3333,3,1,0.5246,0.1,0.0588,0.6471,0.0588,0.1765,0.0,0.0,0.3333,0.0,0.0,0.0,1.0551,0.0,enter_inner,obstacle,0.9997,0.0
12,24.2925,11.85,0,3.0,0.5,29,13920,70,150.0,0.0,150.0,1.0,1.2069,0.1034,1,0,1,0.0345,0.0,0.0345,0,0.4483,0.5517,0.6552,13,19,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6,10,6,0.5802,0.1,0.1724,0.8276,0.069,0.3448,0.0,0.0,0.6,0.0,0.0,0.0,1.2253,0.0,return_outer,obstacle,0.9996,0.0
13,-10.0,-10.64,0,0.0,0.0,6,2880,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.1667,0.0,0.1667,0,0.0,1.0,0.6667,0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.4945,0.1,0.0,0.8333,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.6365,0.0,outer_patrol_a,road_edge,0.9996,0.0
